               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.109668E+03   0.109223E+03   0.590201E+01   0.736632E-03
Maximum           0.114353E+03   0.114574E+03   0.997422E+01   0.169904E+01
Range             0.468500E+01   0.535100E+01   0.407221E+01   0.169830E+01
Mean              0.111438E+03   0.111842E+03   0.811292E+01   0.357326E+00
Median            0.111389E+03   0.111787E+03   0.834085E+01   0.310303E+00
Q10%              0.110834E+03   0.111340E+03   0.631574E+01   0.616569E-01
Q25%              0.111099E+03   0.111570E+03   0.704838E+01   0.143343E+00
Q75%              0.111662E+03   0.112087E+03   0.905483E+01   0.503281E+00
Q90%              0.112031E+03   0.112396E+03   0.960082E+01   0.728770E+00
St.Dev.           0.565883E+00   0.481138E+00   0.117699E+01   0.265609E+00
Variance          0.320223E+00   0.231494E+00   0.138531E+01   0.705484E-01
CV                0.507802E-02   0.430195E-02   0.145076E+00   0.743325E+00
Skewness          0.119189E+01   0.559937E+00  -0.300542E+00   0.118748E+01
Kurtosis          0.383805E+01   0.413594E+01  -0.113012E+01   0.207805E+01
MaxPost           0.111132E+03   0.111996E+03   0.896773E+01   0.650427E-01
