               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.610143E+02   0.155306E-02
Maximum           0.687029E+02   0.715670E+01
Range             0.768860E+01   0.715515E+01
Mean              0.650058E+02   0.103666E+01
Median            0.650911E+02   0.727594E+00
Q10%              0.640492E+02   0.149235E+00
Q25%              0.646080E+02   0.358312E+00
Q75%              0.654849E+02   0.143007E+01
Q90%              0.658758E+02   0.242366E+01
St.Dev.           0.828441E+00   0.984523E+00
Variance          0.686314E+00   0.969285E+00
CV                0.127441E-01   0.949703E+00
Skewness         -0.598507E+00   0.203078E+01
Kurtosis          0.378832E+01   0.622046E+01
MaxPost           0.651442E+02   0.117461E-01
