"res1"	"Y1_gamma1"	"LogPost"
70.1395	1.00773	-8.67049
69.7964	0.617493	-8.07689
70.4371	1.47685	-9.40044
70.1588	0.294516	-8.23924
70.711	1.73262	-9.88714
69.4609	1.5667	-9.3029
71.1268	1.8774	-10.4148
70.5814	1.75328	-9.80918
69.8072	1.11092	-8.65799
70.4188	1.43131	-9.33662
70.0586	1.29596	-8.9667
69.5803	1.29692	-8.91037
68.3372	0.335564	-9.97613
68.7443	0.711559	-8.97106
69.3964	0.122715	-7.73064
69.7002	1.96956	-9.80665
70.0399	1.18042	-8.81504
69.9616	1.97138	-9.82129
74.2202	4.29934	-14.6132
67.589	10.4828	-16.5664
72.1753	16.4151	-18.6768
68.2171	7.76379	-15.1393
70.123	6.65637	-14.3268
68.8327	1.01834	-9.0872
66.6964	1.7737	-13.4921
69.4458	2.84576	-10.9323
71.0111	1.2291	-9.87739
68.8929	0.155041	-8.40313
69.6751	0.37956	-7.83437
69.1377	0.834302	-8.54728
71.4731	1.78426	-10.7924
70.971	1.78054	-10.1729
68.8761	1.31921	-9.35088
69.9806	0.39256	-8.03133
69.5144	1.21741	-8.81681
70.4586	1.58896	-9.54083
70.6075	0.887357	-9.10522
71.2589	0.766638	-10.6588
70.2936	0.00890587	-8.52089
69.5219	0.334355	-7.79868
69.3203	0.245154	-7.8345
70.0564	2.50232	-10.5063
72.4107	2.78987	-12.3825
69.4325	1.52318	-9.25255
69.6722	0.845271	-8.31037
69.3439	0.512534	-8.03131
68.7367	1.16887	-9.35538
67.6786	0.894635	-11.7466
68.5976	1.16807	-9.54783
67.9704	2.18113	-11.1389
69.8088	1.73122	-9.4882
70.5943	1.7132	-9.77498
68.2884	1.83598	-10.5024
71.4137	2.36657	-11.0819
68.1336	3.40737	-12.0178
68.9792	1.13075	-9.03742
68.5785	0.364837	-9.21764
68.7999	0.450382	-8.71134
67.8787	1.06625	-10.9956
70.1333	0.158598	-8.18837
70.266	0.158598	-8.44688
70.2722	1.15196	-8.92195
70.4885	0.383215	-8.89673
69.1002	0.358206	-8.14153
69.7212	0.376973	-7.84522
69.4212	0.404901	-7.8881
69.6993	1.1822	-8.74477
69.3528	0.100001	-7.75058
68.7384	0.598064	-8.91345
69.8741	0.91403	-8.42786
70.0517	1.15935	-8.79462
71.4198	1.37906	-10.6251
70.5267	1.33756	-9.32954
69.8721	2.64442	-10.6635
72.4467	2.85901	-12.447
69.8542	4.31739	-12.4553
70.2259	0.330042	-8.3568
69.7809	0.337596	-7.84544
69.967	2.21003	-10.1297
69.1025	1.3372	-9.17736
70.2051	0.262224	-8.31814
69.6519	0.276819	-7.76179
69.1885	0.276819	-7.97876
69.1885	0.758111	-8.41521
69.2404	0.48807	-8.0891
70.414	1.09445	-8.9915
69.2013	1.45448	-9.26234
69.7682	0.543393	-7.99682
69.3916	1.04547	-8.63182
69.5442	0.552347	-7.98794
70.7322	1.11617	-9.398
71.1476	0.857348	-10.2382
69.747	0.173333	-7.75035
69.6616	0.757128	-8.20465
67.7984	1.78013	-11.1621
68.8516	0.992422	-9.03775
72.6636	1.56156	-13.4488
69.2531	1.02823	-8.68641
69.4804	0.68495	-8.1494
69.6918	0.72591	-8.16998
69.8634	1.27562	-8.88302
69.4282	1.74405	-9.54974
69.7441	0.0408117	-7.72161
69.3069	0.0408117	-7.77423
69.1667	0.0408117	-7.92014
69.4337	0.416059	-7.89205
69.1964	0.269178	-7.96519
69.3344	0.428704	-7.95949
69.9922	0.824404	-8.38141
69.6905	0.991074	-8.49374
69.4596	0.45097	-7.91271
69.2288	1.31177	-9.0626
68.8785	0.0102415	-8.41571
69.8683	0.0503946	-7.81842
68.631	2.31821	-10.6537
70.1505	2.13237	-10.0649
69.122	2.57338	-10.6927
70.1501	0.147833	-8.21799
68.7955	1.08632	-9.20083
69.7369	0.700233	-8.1472
68.3097	1.32553	-10.1095
68.6872	0.795562	-9.12943
69.0232	1.00703	-8.85414
70.1469	2.54342	-10.5708
69.9833	0.0579759	-7.95157
68.5478	2.0544	-10.4416
70.3528	2.04203	-10.0196
70.122	1.42251	-9.15233
68.1565	0.759175	-10.3618
69.5769	0.75306	-8.20572
69.1518	0.75306	-8.44389
