"loglikelihood"	"logprio"	"logposterior"
-31.5464298140119	-4.60517018598809	-36.1516
-32.8207298140119	-4.60517018598809	-37.4259
-31.4004298140119	-4.60517018598809	-36.0056
-32.4498298140119	-4.60517018598809	-37.055
-31.5341298140119	-4.60517018598809	-36.1393
-32.5280298140119	-4.60517018598809	-37.1332
-31.5518298140119	-4.60517018598809	-36.157
-30.9113298140119	-4.60517018598809	-35.5165
-30.8588298140119	-4.60517018598809	-35.464
-32.6266298140119	-4.60517018598809	-37.2318
-30.9724298140119	-4.60517018598809	-35.5776
-31.1092298140119	-4.60517018598809	-35.7144
-31.0535298140119	-4.60517018598809	-35.6587
-31.5046298140119	-4.60517018598809	-36.1098
-31.9956298140119	-4.60517018598809	-36.6008
-31.9199298140119	-4.60517018598809	-36.5251
-31.4467298140119	-4.60517018598809	-36.0519
-33.0013298140119	-4.60517018598809	-37.6065
-31.7856298140119	-4.60517018598809	-36.3908
-31.4646298140119	-4.60517018598809	-36.0698
-31.0276298140119	-4.60517018598809	-35.6328
-32.5667298140119	-4.60517018598809	-37.1719
-30.9471298140119	-4.60517018598809	-35.5523
-35.4175298140119	-4.60517018598809	-40.0227
-31.3896298140119	-4.60517018598809	-35.9948
-33.2607298140119	-4.60517018598809	-37.8659
-31.1875298140119	-4.60517018598809	-35.7927
-30.9685298140119	-4.60517018598809	-35.5737
-31.1005298140119	-4.60517018598809	-35.7057
-31.2713298140119	-4.60517018598809	-35.8765
-32.9771298140119	-4.60517018598809	-37.5823
-30.9609298140119	-4.60517018598809	-35.5661
-31.7399298140119	-4.60517018598809	-36.3451
-30.9569298140119	-4.60517018598809	-35.5621
-35.4317298140119	-4.60517018598809	-40.0369
-32.8509298140119	-4.60517018598809	-37.4561
-31.6202298140119	-4.60517018598809	-36.2254
-31.9313298140119	-4.60517018598809	-36.5365
-31.5089298140119	-4.60517018598809	-36.1141
-30.8585298140119	-4.60517018598809	-35.4637
-30.8726298140119	-4.60517018598809	-35.4778
-31.2022298140119	-4.60517018598809	-35.8074
-31.5692298140119	-4.60517018598809	-36.1744
-31.2886298140119	-4.60517018598809	-35.8938
-31.0047298140119	-4.60517018598809	-35.6099
-31.1623298140119	-4.60517018598809	-35.7675
-31.8345298140119	-4.60517018598809	-36.4397
-34.1799298140119	-4.60517018598809	-38.7851
-31.8848298140119	-4.60517018598809	-36.49
-33.1269298140119	-4.60517018598809	-37.7321
-31.6623298140119	-4.60517018598809	-36.2675
