X1_obs         X1_true        Y1_obs         Y1_unbiased    Y1_sim         Y1_res         Y1_stdres      
   0.639954E+01   0.639954E+01   0.117087E+03   0.117087E+03   0.113609E+03   0.347794E+01   0.569248E+00
   0.640713E+01   0.640713E+01   0.117610E+03   0.117610E+03   0.113609E+03   0.400115E+01   0.662841E+00
   0.669942E+01   0.669942E+01   0.118032E+03   0.118032E+03   0.113609E+03   0.442301E+01   0.723671E+00
   0.766938E+01   0.766938E+01   0.116642E+03   0.116642E+03   0.113609E+03   0.303268E+01   0.478077E+00
   0.796056E+01   0.796056E+01   0.119076E+03   0.119076E+03   0.113609E+03   0.546734E+01   0.870582E+00
   0.819911E+01   0.819911E+01   0.117239E+03   0.117239E+03   0.113609E+03   0.363024E+01   0.597292E+00
   0.841601E+01   0.841601E+01   0.115040E+03   0.115040E+03   0.113609E+03   0.143127E+01   0.231395E+00
   0.852964E+01   0.852964E+01   0.117271E+03   0.117271E+03   0.113609E+03   0.366188E+01   0.602210E+00
   0.880459E+01   0.880459E+01   0.102636E+03   0.102636E+03   0.113609E+03  -0.109726E+02  -0.179535E+01
   0.913465E+01   0.913465E+01   0.105963E+03   0.105963E+03   0.113609E+03  -0.764608E+01  -0.122178E+01
   0.972069E+01   0.972069E+01   0.103078E+03   0.103078E+03   0.113609E+03  -0.105307E+02  -0.171890E+01
