               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.106725E+03   0.334426E+01
Maximum           0.120521E+03   0.157394E+02
Range             0.137960E+02   0.123951E+02
Mean              0.113606E+03   0.699175E+01
Median            0.113575E+03   0.668568E+01
Q10%              0.110948E+03   0.517573E+01
Q25%              0.112317E+03   0.576156E+01
Q75%              0.114999E+03   0.781119E+01
Q90%              0.116345E+03   0.941511E+01
St.Dev.           0.217131E+01   0.174602E+01
Variance          0.471459E+01   0.304857E+01
CV                0.191127E-01   0.249725E+00
Skewness          0.263461E-01   0.117134E+01
Kurtosis          0.532272E+00   0.234963E+01
MaxPost           0.113609E+03   0.598434E+01
