               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.989575E+02   0.851981E+00
Maximum           0.102515E+03   0.392977E+01
Range             0.355750E+01   0.307779E+01
Mean              0.100903E+03   0.202168E+01
Median            0.100929E+03   0.194103E+01
Q10%              0.100195E+03   0.136127E+01
Q25%              0.100599E+03   0.163634E+01
Q75%              0.101240E+03   0.235367E+01
Q90%              0.101561E+03   0.274545E+01
St.Dev.           0.542188E+00   0.537373E+00
Variance          0.293968E+00   0.288770E+00
CV                0.537339E-02   0.265806E+00
Skewness         -0.255270E+00   0.595146E+00
Kurtosis          0.560841E+00   0.208559E+00
MaxPost           0.100883E+03   0.178085E+01
