               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.890243E+02   0.754432E+02   0.579421E+01   0.323962E+01
Maximum           0.109595E+03   0.105168E+03   0.996295E+01   0.876166E+01
Range             0.205707E+02   0.297248E+02   0.416874E+01   0.552204E+01
Mean              0.975778E+02   0.940308E+02   0.841180E+01   0.532691E+01
Median            0.974282E+02   0.947304E+02   0.860629E+01   0.519398E+01
Q10%              0.945841E+02   0.903882E+02   0.660775E+01   0.422072E+01
Q25%              0.961959E+02   0.931182E+02   0.796962E+01   0.462364E+01
Q75%              0.992668E+02   0.959293E+02   0.922523E+01   0.585980E+01
Q90%              0.100602E+03   0.971016E+02   0.982720E+01   0.669470E+01
St.Dev.           0.253296E+01   0.344708E+01   0.111823E+01   0.957788E+00
Variance          0.641590E+01   0.118824E+02   0.125044E+01   0.917358E+00
CV                0.259584E-01   0.366591E-01   0.132936E+00   0.179802E+00
Skewness          0.101761E+00  -0.193167E+01  -0.635257E+00   0.686323E+00
Kurtosis          0.141437E+01   0.631913E+01  -0.352854E+00   0.524073E+00
MaxPost           0.990365E+02   0.944353E+02   0.863200E+01   0.472154E+01
