               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.109899E+03   0.110055E+03   0.548285E+00   0.968335E-03
Maximum           0.126050E+03   0.113872E+03   0.250930E+01   0.233193E+01
Range             0.161510E+02   0.381700E+01   0.196102E+01   0.233096E+01
Mean              0.114575E+03   0.112361E+03   0.136331E+01   0.495649E+00
Median            0.113653E+03   0.112479E+03   0.131550E+01   0.389472E+00
Q10%              0.112537E+03   0.111475E+03   0.613960E+00   0.875206E-01
Q25%              0.112981E+03   0.112032E+03   0.730325E+00   0.195780E+00
Q75%              0.115465E+03   0.112814E+03   0.198087E+01   0.678013E+00
Q90%              0.118484E+03   0.113058E+03   0.229840E+01   0.110884E+01
St.Dev.           0.240476E+01   0.622509E+00   0.652901E+00   0.397499E+00
Variance          0.578288E+01   0.387517E+00   0.426279E+00   0.158005E+00
CV                0.209885E-01   0.554026E-02   0.478908E+00   0.801976E+00
Skewness          0.134821E+01  -0.858792E+00   0.268351E+00   0.130362E+01
Kurtosis          0.158891E+01   0.829454E+00  -0.146072E+01   0.187843E+01
MaxPost           0.113209E+03   0.111868E+03   0.208918E+01   0.735194E-01
