res1           res2           tau1           Y1_gamma1      LogPost        
   0.114839E+03   0.113279E+03   0.866869E+00   0.172550E+01  -0.268860E+02
   0.112974E+03   0.111186E+03   0.214306E+01   0.619822E+00  -0.229261E+02
   0.112786E+03   0.110867E+03   0.243710E+01   0.322761E+00  -0.218364E+02
   0.113193E+03   0.112500E+03   0.122850E+01   0.407885E+00  -0.225308E+02
   0.114407E+03   0.112500E+03   0.958027E+00   0.407885E+00  -0.222714E+02
   0.113458E+03   0.112587E+03   0.606444E+00   0.278903E+00  -0.224019E+02
   0.113657E+03   0.112579E+03   0.110581E+01   0.564300E-01  -0.226218E+02
   0.112868E+03   0.113401E+03   0.218093E+01   0.102618E+00  -0.251171E+02
   0.114023E+03   0.111625E+03   0.230037E+01   0.232590E+00  -0.251429E+02
   0.112304E+03   0.112444E+03   0.102257E+01   0.362223E+00  -0.232785E+02
   0.112798E+03   0.112343E+03   0.624922E+00   0.362223E+00  -0.231645E+02
   0.113381E+03   0.112600E+03   0.188533E+01   0.401248E+00  -0.217494E+02
   0.113335E+03   0.112600E+03   0.934389E+00   0.209121E+00  -0.222687E+02
   0.119770E+03   0.112510E+03   0.790708E+00   0.295786E+00  -0.224472E+02
   0.117368E+03   0.112783E+03   0.585373E+00   0.691774E+00  -0.224431E+02
   0.113897E+03   0.111491E+03   0.193539E+01   0.176784E+00  -0.233124E+02
   0.115400E+03   0.110579E+03   0.219090E+01   0.233193E+01  -0.317264E+02
   0.112858E+03   0.112817E+03   0.738408E+00   0.110956E+01  -0.245255E+02
   0.117250E+03   0.112161E+03   0.738408E+00   0.469495E+00  -0.228486E+02
   0.112015E+03   0.112820E+03   0.161344E+01   0.180635E+00  -0.256871E+02
   0.112644E+03   0.111394E+03   0.245059E+01   0.848254E-01  -0.215317E+02
   0.113142E+03   0.111432E+03   0.235247E+01   0.848254E-01  -0.211242E+02
   0.113400E+03   0.112934E+03   0.208805E+01   0.198843E+00  -0.224794E+02
   0.112892E+03   0.111856E+03   0.240872E+01   0.290571E+00  -0.213968E+02
   0.112892E+03   0.113090E+03   0.126108E+01   0.406853E+00  -0.237132E+02
   0.112854E+03   0.112236E+03   0.190452E+01   0.334991E+00  -0.219267E+02
   0.112755E+03   0.113079E+03   0.161812E+01   0.420779E+00  -0.240251E+02
   0.119162E+03   0.112643E+03   0.677558E+00   0.172576E+00  -0.220548E+02
   0.117202E+03   0.112938E+03   0.756666E+00   0.172576E+00  -0.220266E+02
   0.118777E+03   0.112824E+03   0.591897E+00   0.172576E+00  -0.220699E+02
   0.112940E+03   0.112902E+03   0.218912E+01   0.333567E+00  -0.229187E+02
   0.112835E+03   0.112275E+03   0.118209E+01   0.979604E+00  -0.242726E+02
   0.113195E+03   0.112422E+03   0.192238E+01   0.450604E-02  -0.212838E+02
   0.113687E+03   0.112775E+03   0.163694E+01   0.140738E+00  -0.219852E+02
   0.112318E+03   0.112523E+03   0.820912E+00   0.140738E+00  -0.230671E+02
   0.115970E+03   0.112495E+03   0.626153E+00   0.109802E+00  -0.217534E+02
   0.114474E+03   0.112495E+03   0.607885E+00   0.479411E+00  -0.223247E+02
   0.116107E+03   0.112612E+03   0.757081E+00   0.184453E+01  -0.264061E+02
   0.117051E+03   0.112165E+03   0.723654E+00   0.482421E+00  -0.228329E+02
   0.114877E+03   0.112844E+03   0.710413E+00   0.482421E+00  -0.222945E+02
   0.116944E+03   0.113042E+03   0.576762E+00   0.455494E+00  -0.225219E+02
   0.114406E+03   0.112348E+03   0.706014E+00   0.678533E+00  -0.229109E+02
   0.114758E+03   0.112995E+03   0.659927E+00   0.142008E+00  -0.224104E+02
   0.115714E+03   0.113206E+03   0.846142E+00   0.162933E+00  -0.242097E+02
   0.118591E+03   0.112881E+03   0.559147E+00   0.162933E+00  -0.221207E+02
   0.118294E+03   0.112841E+03   0.559147E+00   0.105539E+00  -0.219536E+02
   0.110962E+03   0.112712E+03   0.750948E+00   0.119662E+01  -0.257795E+02
   0.113749E+03   0.112395E+03   0.957543E+00   0.320629E+00  -0.223858E+02
   0.113399E+03   0.112395E+03   0.154751E+01   0.436733E+00  -0.215441E+02
   0.112950E+03   0.111394E+03   0.148978E+01   0.826601E+00  -0.248449E+02
   0.113482E+03   0.111366E+03   0.211631E+01   0.457149E+00  -0.224078E+02
   0.113064E+03   0.111724E+03   0.215416E+01   0.457149E+00  -0.217108E+02
   0.113678E+03   0.112744E+03   0.228366E+01   0.987159E+00  -0.250584E+02
   0.113678E+03   0.113080E+03   0.150001E+01   0.267018E+00  -0.233430E+02
   0.114690E+03   0.113080E+03   0.691763E+00   0.267018E+00  -0.227726E+02
   0.113115E+03   0.112385E+03   0.142921E+01   0.622716E+00  -0.224317E+02
   0.113115E+03   0.112363E+03   0.246386E+01   0.658927E+00  -0.226814E+02
   0.113114E+03   0.112032E+03   0.189006E+01   0.920435E-01  -0.215055E+02
   0.113114E+03   0.112494E+03   0.192572E+01   0.411232E+00  -0.217843E+02
   0.113363E+03   0.112208E+03   0.180935E+01   0.331154E+00  -0.213355E+02
   0.113070E+03   0.112772E+03   0.241707E+01   0.316973E+00  -0.226599E+02
   0.113767E+03   0.112136E+03   0.150292E+01   0.316973E+00  -0.214947E+02
   0.113076E+03   0.112445E+03   0.230011E+01   0.316973E+00  -0.220590E+02
   0.112749E+03   0.111317E+03   0.236961E+01   0.271783E+00  -0.214884E+02
   0.112762E+03   0.111675E+03   0.213757E+01   0.251959E+00  -0.218795E+02
   0.113320E+03   0.112519E+03   0.135735E+01   0.632049E-01  -0.216473E+02
   0.113648E+03   0.112113E+03   0.189121E+01   0.392251E+00  -0.215107E+02
   0.113085E+03   0.112386E+03   0.200332E+01   0.669990E-01  -0.213896E+02
   0.113556E+03   0.112320E+03   0.172594E+01   0.818070E+00  -0.225160E+02
   0.112791E+03   0.112226E+03   0.707870E+00   0.676157E+00  -0.238284E+02
   0.117999E+03   0.113623E+03   0.701855E+00   0.258532E+00  -0.260629E+02
   0.118704E+03   0.112995E+03   0.701855E+00   0.387448E+00  -0.225868E+02
   0.117493E+03   0.112419E+03   0.672338E+00   0.628005E+00  -0.224077E+02
   0.113399E+03   0.112419E+03   0.246728E+01   0.113432E+00  -0.224346E+02
   0.113107E+03   0.112745E+03   0.219871E+01   0.111314E+00  -0.221659E+02
   0.113066E+03   0.112014E+03   0.223605E+01   0.111314E+00  -0.211282E+02
   0.113485E+03   0.110922E+03   0.239623E+01   0.111314E+00  -0.223131E+02
   0.113331E+03   0.110703E+03   0.233014E+01   0.217297E+00  -0.221843E+02
   0.112879E+03   0.113103E+03   0.207684E+01   0.962576E-01  -0.238008E+02
   0.112459E+03   0.112380E+03   0.156648E+01   0.239764E+00  -0.229581E+02
   0.112995E+03   0.112633E+03   0.134527E+01   0.239764E+00  -0.221257E+02
   0.113248E+03   0.110604E+03   0.228253E+01   0.183822E+00  -0.221263E+02
   0.114728E+03   0.111691E+03   0.201065E+01   0.521325E+00  -0.247506E+02
   0.113501E+03   0.112158E+03   0.183274E+01   0.109178E+01  -0.234641E+02
   0.119353E+03   0.112876E+03   0.632327E+00   0.210518E+00  -0.223732E+02
   0.118732E+03   0.112876E+03   0.739269E+00   0.433801E+00  -0.223603E+02
   0.116062E+03   0.112694E+03   0.602000E+00   0.805340E+00  -0.226642E+02
   0.116089E+03   0.112694E+03   0.677014E+00   0.243304E+00  -0.216939E+02
   0.112852E+03   0.113075E+03   0.662261E+00   0.159730E+00  -0.234468E+02
   0.112374E+03   0.113186E+03   0.116061E+01   0.154171E+01  -0.266509E+02
   0.112374E+03   0.112279E+03   0.115507E+01   0.272530E+00  -0.235077E+02
   0.114018E+03   0.112160E+03   0.205866E+01   0.312611E+00  -0.218378E+02
   0.113362E+03   0.111685E+03   0.178329E+01   0.210307E+00  -0.222027E+02
   0.113362E+03   0.110995E+03   0.232310E+01   0.834460E-01  -0.218159E+02
   0.113362E+03   0.111564E+03   0.175767E+01   0.634140E+00  -0.228578E+02
   0.113288E+03   0.112287E+03   0.140154E+01   0.418421E-01  -0.216194E+02
   0.113288E+03   0.112854E+03   0.201750E+01   0.653518E+00  -0.228770E+02
   0.113015E+03   0.113467E+03   0.212630E+01   0.653518E+00  -0.251406E+02
   0.113060E+03   0.111152E+03   0.228780E+01   0.879325E-02  -0.211560E+02
   0.111873E+03   0.111845E+03   0.224489E+01   0.472252E+00  -0.257890E+02
   0.113242E+03   0.112191E+03   0.210811E+01   0.603463E+00  -0.220085E+02
   0.112970E+03   0.112813E+03   0.889702E+00   0.462299E+00  -0.228836E+02
   0.118252E+03   0.112586E+03   0.618229E+00   0.855473E-01  -0.217929E+02
   0.116822E+03   0.112689E+03   0.696882E+00   0.594820E-01  -0.215993E+02
   0.117313E+03   0.112689E+03   0.572455E+00   0.594820E-01  -0.216271E+02
   0.113429E+03   0.112689E+03   0.666837E+00   0.716454E-01  -0.223141E+02
   0.117958E+03   0.113026E+03   0.666837E+00   0.359645E+00  -0.224906E+02
   0.119024E+03   0.112600E+03   0.584069E+00   0.359645E+00  -0.221525E+02
   0.113453E+03   0.113049E+03   0.115201E+01   0.413923E+00  -0.233732E+02
   0.114713E+03   0.112441E+03   0.196352E+01   0.644240E+00  -0.242207E+02
   0.114666E+03   0.112479E+03   0.178211E+01   0.570614E+00  -0.240118E+02
   0.112123E+03   0.111872E+03   0.186320E+01   0.129008E+01  -0.259406E+02
   0.112334E+03   0.112178E+03   0.974384E+00   0.129008E+01  -0.256118E+02
   0.113938E+03   0.112178E+03   0.161546E+01   0.502276E-01  -0.215449E+02
   0.113164E+03   0.112040E+03   0.165167E+01   0.248136E+00  -0.215123E+02
   0.114111E+03   0.112980E+03   0.172848E+01   0.160554E+00  -0.233969E+02
   0.113901E+03   0.112276E+03   0.184017E+01   0.160554E+00  -0.214913E+02
   0.113746E+03   0.111776E+03   0.192642E+01   0.667792E+00  -0.225232E+02
   0.116754E+03   0.112164E+03   0.612305E+00   0.577201E+00  -0.229150E+02
   0.111997E+03   0.112808E+03   0.142114E+01   0.577201E+00  -0.252141E+02
   0.118074E+03   0.112908E+03   0.742853E+00   0.140588E+01  -0.249430E+02
   0.116781E+03   0.112490E+03   0.599997E+00   0.738754E+00  -0.225205E+02
   0.111894E+03   0.113202E+03   0.115596E+01   0.935533E+00  -0.254778E+02
   0.113485E+03   0.111476E+03   0.213461E+01   0.617038E+00  -0.225196E+02
   0.112821E+03   0.110967E+03   0.247819E+01   0.482803E+00  -0.220005E+02
   0.113061E+03   0.112785E+03   0.230095E+01   0.674049E+00  -0.232493E+02
   0.115132E+03   0.112369E+03   0.651132E+00   0.456663E+00  -0.223444E+02
   0.118029E+03   0.112943E+03   0.667994E+00   0.456663E+00  -0.223677E+02
   0.116680E+03   0.112723E+03   0.709521E+00   0.559854E+00  -0.220838E+02
   0.113926E+03   0.112723E+03   0.705667E+00   0.367275E+00  -0.222999E+02
   0.118946E+03   0.112723E+03   0.705667E+00   0.306886E+00  -0.220929E+02
   0.114515E+03   0.112910E+03   0.613960E+00   0.122504E+01  -0.244394E+02
   0.117312E+03   0.112843E+03   0.613960E+00   0.346583E+00  -0.219438E+02
   0.118440E+03   0.112714E+03   0.603227E+00   0.114372E+01  -0.239154E+02
   0.117664E+03   0.113449E+03   0.615096E+00   0.124170E+01  -0.255158E+02
   0.114392E+03   0.112862E+03   0.809778E+00   0.195975E+00  -0.223203E+02
   0.115797E+03   0.112213E+03   0.611228E+00   0.638541E+00  -0.228876E+02
   0.121839E+03   0.112799E+03   0.731408E+00   0.145425E+00  -0.235557E+02
   0.112664E+03   0.112486E+03   0.188415E+01   0.115364E+00  -0.223714E+02
   0.112948E+03   0.112958E+03   0.632783E+00   0.197074E+00  -0.230091E+02
   0.120618E+03   0.112951E+03   0.676065E+00   0.152296E+00  -0.231114E+02
   0.113139E+03   0.111054E+03   0.245629E+01   0.152296E+00  -0.213628E+02
   0.113139E+03   0.111728E+03   0.227163E+01   0.152296E+00  -0.211193E+02
   0.113436E+03   0.112798E+03   0.147422E+01   0.152296E+00  -0.221782E+02
   0.113268E+03   0.112133E+03   0.192166E+01   0.283184E+00  -0.213627E+02
   0.112319E+03   0.111961E+03   0.239377E+01   0.283184E+00  -0.230735E+02
   0.112352E+03   0.112068E+03   0.136499E+01   0.283184E+00  -0.236257E+02
   0.109899E+03   0.113033E+03   0.794764E+00   0.540266E+00  -0.256143E+02
   0.114607E+03   0.112790E+03   0.978109E+00   0.454626E+00  -0.234469E+02
   0.114259E+03   0.111377E+03   0.200644E+01   0.121955E+01  -0.252234E+02
   0.113885E+03   0.110193E+03   0.249212E+01   0.806765E+00  -0.271977E+02
   0.112510E+03   0.111447E+03   0.243814E+01   0.191462E+00  -0.220201E+02
   0.115972E+03   0.113086E+03   0.944802E+00   0.790882E+00  -0.243162E+02
   0.111871E+03   0.112360E+03   0.132178E+01   0.684968E+00  -0.252435E+02
   0.112749E+03   0.111394E+03   0.234718E+01   0.333056E+00  -0.215625E+02
   0.113207E+03   0.112199E+03   0.239871E+01   0.116661E+00  -0.216543E+02
   0.114891E+03   0.111655E+03   0.173977E+01   0.469804E+00  -0.255478E+02
   0.112513E+03   0.111168E+03   0.172126E+01   0.469804E+00  -0.257779E+02
   0.113569E+03   0.113118E+03   0.997290E+00   0.123896E+01  -0.252109E+02
   0.113292E+03   0.112302E+03   0.605643E+00   0.241430E+00  -0.229852E+02
   0.115349E+03   0.111834E+03   0.552521E+00   0.520318E+00  -0.245824E+02
   0.115188E+03   0.112152E+03   0.906699E+00   0.229380E+00  -0.232504E+02
   0.112514E+03   0.113007E+03   0.837526E+00   0.523397E+00  -0.237575E+02
   0.113094E+03   0.112874E+03   0.131655E+01   0.523397E+00  -0.229044E+02
   0.112952E+03   0.112263E+03   0.213550E+01   0.883138E+00  -0.230203E+02
   0.112890E+03   0.111920E+03   0.234645E+01   0.627042E+00  -0.222119E+02
   0.112148E+03   0.112074E+03   0.197296E+01   0.150176E+00  -0.242772E+02
   0.115687E+03   0.112293E+03   0.914317E+00   0.691414E+00  -0.234651E+02
   0.118554E+03   0.112910E+03   0.565584E+00   0.905199E-01  -0.221595E+02
   0.113867E+03   0.112302E+03   0.658968E+00   0.905199E-01  -0.227210E+02
   0.112545E+03   0.111938E+03   0.196110E+01   0.112553E+01  -0.245162E+02
   0.118334E+03   0.111645E+03   0.700484E+00   0.335947E+00  -0.262782E+02
   0.115397E+03   0.112489E+03   0.965983E+00   0.705068E+00  -0.230728E+02
   0.112511E+03   0.112489E+03   0.896618E+00   0.892822E-01  -0.228968E+02
   0.112409E+03   0.112489E+03   0.858923E+00   0.380114E+00  -0.231384E+02
   0.120418E+03   0.112489E+03   0.705363E+00   0.436683E+00  -0.229050E+02
   0.114911E+03   0.112174E+03   0.901977E+00   0.678211E+00  -0.233334E+02
   0.114621E+03   0.112882E+03   0.747678E+00   0.678211E+00  -0.227768E+02
   0.115882E+03   0.112452E+03   0.739170E+00   0.152547E+00  -0.218453E+02
   0.118684E+03   0.112499E+03   0.597720E+00   0.102501E+01  -0.235871E+02
   0.115393E+03   0.113085E+03   0.560607E+00   0.722976E+00  -0.231689E+02
   0.121782E+03   0.113454E+03   0.644092E+00   0.731080E+00  -0.262606E+02
   0.118480E+03   0.113114E+03   0.576068E+00   0.162117E-02  -0.228347E+02
   0.114807E+03   0.112873E+03   0.621067E+00   0.195585E+00  -0.220958E+02
   0.115002E+03   0.112873E+03   0.760976E+00   0.532844E+00  -0.223922E+02
   0.113839E+03   0.112343E+03   0.728079E+00   0.695335E+00  -0.231387E+02
   0.115594E+03   0.112563E+03   0.745939E+00   0.726113E+00  -0.225107E+02
   0.115765E+03   0.112818E+03   0.745939E+00   0.370783E+00  -0.219535E+02
