               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.890099E+02   0.270539E+01
Maximum           0.981597E+02   0.112083E+02
Range             0.914980E+01   0.850291E+01
Mean              0.934185E+02   0.509485E+01
Median            0.934328E+02   0.488814E+01
Q10%              0.916452E+02   0.382699E+01
Q25%              0.925293E+02   0.426125E+01
Q75%              0.942772E+02   0.573833E+01
Q90%              0.950883E+02   0.674034E+01
St.Dev.           0.136129E+01   0.116391E+01
Variance          0.185310E+01   0.135469E+01
CV                0.145719E-01   0.228449E+00
Skewness         -0.449385E-02   0.933394E+00
Kurtosis          0.563988E+00   0.149576E+01
MaxPost           0.936616E+02   0.435290E+01
