               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.737700E+02   0.196118E-02
Maximum           0.769283E+02   0.287137E+01
Range             0.315830E+01   0.286941E+01
Mean              0.749216E+02   0.705864E+00
Median            0.749018E+02   0.620459E+00
Q10%              0.743558E+02   0.149179E+00
Q25%              0.746532E+02   0.318945E+00
Q75%              0.751874E+02   0.100186E+01
Q90%              0.754745E+02   0.139962E+01
St.Dev.           0.442776E+00   0.497628E+00
Variance          0.196050E+00   0.247634E+00
CV                0.590985E-02   0.704992E+00
Skewness          0.342524E+00   0.104617E+01
Kurtosis          0.112139E+01   0.135238E+01
MaxPost           0.748909E+02   0.286546E+00
