"res1"	"res2"	"tau1"	"Y1_gamma1"	"LogPost"
71.6167	63.8671	3.23783	4.55226	-15.3435
64.3524	65.393	3.72594	2.05348	-16.7304
73.7289	70.0171	3.77132	9.50498	-20.9583
66.1583	64.5289	3.21908	4.45753	-16.1372
72.4649	65.2729	3.29451	0.014838	-8.44735
70.5622	65.6172	3.26633	0.014838	-9.68701
76.2737	64.8337	3.26633	1.03439	-11.1755
71.7857	65.1404	3.21738	1.94676	-11.7041
74.5622	66.0605	3.22036	1.48323	-11.7465
74.8893	65.0176	3.22036	1.13019	-10.4443
72.2539	64.3339	3.36276	1.32295	-10.7103
71.8567	64.9794	3.17234	2.29127	-12.2598
67.891	66.0587	3.58564	2.023	-14.533
68.6513	65.9068	3.48203	0.437094	-13.4652
73.5325	65.2521	3.52387	0.437094	-12.8684
69.1545	65.9875	3.54106	0.28524	-13.2924
69.8529	65.929	3.45708	0.0632042	-12.7021
74.6166	65.3301	3.34722	1.63141	-11.3397
72.6757	65.9038	3.29634	0.319106	-9.70085
71.4624	64.8278	3.31025	0.319106	-9.11254
70.6648	64.8593	3.31119	0.0853762	-9.43669
71.6621	64.869	3.1877	0.0853762	-8.87824
73.6482	64.6758	3.2225	0.0853762	-9.08232
71.8167	64.2082	3.29476	1.76264	-11.5656
70.716	63.0924	3.29476	4.77775	-15.7991
69.1826	63.5748	3.58414	1.96414	-14.6867
68.6251	64.5319	3.70253	1.40377	-13.6068
70.7474	63.8118	3.41353	0.929156	-14.1228
64.2534	62.0598	3.29982	2.5631	-18.5341
70.7828	65.8124	3.24447	1.31638	-11.3534
73.2755	65.8802	3.18499	1.2284	-10.8523
71.2036	65.5566	3.30685	0.0403638	-9.1711
70.227	65.0973	3.20819	0.346916	-9.71127
71.5101	65.4594	3.36148	0.857741	-9.90652
73.1067	64.8608	3.36148	0.464681	-8.90288
70.1628	64.8952	3.36148	1.69218	-11.7302
72.6962	64.9856	3.36148	2.11149	-11.887
73.7844	65.5359	3.21385	0.491472	-9.2211
73.5591	64.0132	3.274	0.109385	-11.5488
72.1753	66.2525	3.274	0.722967	-11.1021
71.1107	65.1778	3.47814	0.616469	-11.8991
71.0001	65.1168	3.30503	0.239993	-9.07397
72.2364	62.3976	3.47668	4.27774	-17.2158
75.9619	64.7767	3.21546	3.6295	-14.448
76.2047	65.5498	3.19021	0.743718	-11.0064
71.937	64.7537	3.19021	0.0948334	-8.9776
76.291	63.8527	3.26385	2.52976	-13.4267
73.053	65.7829	3.26385	0.328949	-9.37845
73.7882	63.8583	3.20303	0.328949	-11.9666
75.9918	65.998	3.34349	1.59364	-12.4122
72.1007	65.6776	3.26372	0.256904	-9.168
72.0766	64.9864	3.59005	0.893877	-12.5997
72.0766	66.3954	3.17774	0.985437	-11.6744
72.4485	64.5304	3.69972	0.561911	-12.8699
73.221	65.5726	3.25365	1.09203	-10.2294
71.9858	64.2131	3.19473	3.43312	-13.9686
77.6101	65.3962	3.35703	8.41281	-18.7004
73.5905	66.602	3.32531	0.75764	-12.3102
68.5899	65.4738	3.61523	0.324862	-12.7068
72.8207	65.442	3.55716	0.705863	-12.781
70.9691	65.5342	3.20251	1.3491	-11.0471
71.3967	66.2429	3.31811	0.796559	-11.344
72.9346	63.3624	3.42277	3.66294	-16.6434
72.0093	65.0916	3.62438	0.0756982	-11.6127
71.9914	65.4746	3.29376	0.608226	-9.3365
75.2803	64.9527	3.18204	0.839363	-10.1647
72.862	64.9527	3.20868	0.839021	-9.43657
71.9687	65.1409	3.23314	0.277106	-8.67934
73.9156	65.3204	3.26247	0.550569	-9.1297
72.308	64.1211	3.25887	0.550569	-10.477
65.5125	64.8824	3.3585	2.00302	-15.4817
78.8798	63.9754	3.33148	2.47407	-14.6073
74.0971	65.763	3.33148	2.10291	-12.2756
72.1589	62.4124	3.19554	1.77506	-14.292
71.4555	63.7015	3.16822	2.55029	-13.0495
68.5353	64.3418	3.2728	3.18669	-14.3069
67.526	64.1757	3.20231	3.65524	-15.1034
74.6465	64.4496	3.20407	0.677386	-10.0856
68.8172	65.2272	3.20407	0.431138	-11.2272
73.1345	64.5582	3.32663	0.431138	-9.31795
76.3058	64.6483	3.22879	1.52773	-11.8885
74.3487	65.1493	3.22879	2.94809	-13.3484
71.1013	65.8252	3.56771	1.33523	-13.346
74.7171	65.2314	3.3361	0.286712	-9.06956
73.6656	64.8682	3.18829	0.576683	-9.11802
71.8289	65.6464	3.29832	0.102388	-9.08529
69.8851	65.0754	3.24786	0.102388	-9.87328
74.63	64.8541	3.22958	0.102388	-9.12931
71.361	63.3265	3.20943	0.91348	-12.9675
77.8286	63.8652	3.32693	3.33691	-14.7438
69.9712	62.9108	3.35589	3.33691	-14.6448
73.9408	66.4193	3.30851	1.41882	-12.1083
71.5348	65.9421	3.30851	1.41137	-11.3995
72.8898	66.386	3.35512	2.38376	-13.121
69.6779	66.386	3.57026	1.17955	-14.0899
73.0107	64.4482	3.32621	0.585305	-9.60631
75.8425	64.8513	3.29325	0.585305	-10.2866
74.3217	65.4825	3.29325	1.04184	-10.2712
70.1936	66.0114	3.35724	0.705816	-11.3428
