               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.122559E+03   0.611506E-02
Maximum           0.126391E+03   0.522230E+01
Range             0.383200E+01   0.521618E+01
Mean              0.124523E+03   0.117432E+01
Median            0.124544E+03   0.109046E+01
Q10%              0.123763E+03   0.357027E+00
Q25%              0.124185E+03   0.640564E+00
Q75%              0.124880E+03   0.159445E+01
Q90%              0.125190E+03   0.205626E+01
St.Dev.           0.548020E+00   0.709042E+00
Variance          0.300326E+00   0.502741E+00
CV                0.440097E-02   0.603789E+00
Skewness         -0.259003E+00   0.100683E+01
Kurtosis          0.442219E+00   0.230369E+01
MaxPost           0.124641E+03   0.807872E+00
