               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.985221E+02   0.772593E+02   0.640568E+01   0.315163E+01
Maximum           0.101794E+03   0.821532E+02   0.708219E+01   0.504517E+01
Range             0.327190E+01   0.489390E+01   0.676510E+00   0.189354E+01
Mean              0.100105E+03   0.794635E+02   0.693535E+01   0.392581E+01
Median            0.100112E+03   0.794378E+02   0.695599E+01   0.392249E+01
Q10%              0.994486E+02   0.786281E+02   0.684925E+01   0.353511E+01
Q25%              0.997576E+02   0.789627E+02   0.689079E+01   0.369453E+01
Q75%              0.100431E+03   0.799320E+02   0.701467E+01   0.412843E+01
Q90%              0.100761E+03   0.803576E+02   0.705703E+01   0.435037E+01
St.Dev.           0.515250E+00   0.706511E+00   0.122159E+00   0.322064E+00
Variance          0.265483E+00   0.499158E+00   0.149229E-01   0.103725E+00
CV                0.514708E-02   0.889101E-02   0.176140E-01   0.820376E-01
Skewness         -0.728156E-01   0.169187E+00  -0.204500E+01   0.279750E+00
Kurtosis          0.211106E+00   0.338428E+00   0.536561E+01  -0.111346E-01
MaxPost           0.100096E+03   0.793681E+02   0.700846E+01   0.375502E+01
