res1           res2           tau1           Y1_gamma1      LogPost        
   0.991199E+02   0.794173E+02   0.689886E+01   0.401687E+01  -0.285677E+03
   0.998728E+02   0.784652E+02   0.696880E+01   0.411991E+01  -0.285209E+03
   0.993630E+02   0.805824E+02   0.696880E+01   0.391412E+01  -0.286231E+03
   0.100119E+03   0.804779E+02   0.707461E+01   0.396297E+01  -0.285008E+03
   0.996999E+02   0.802930E+02   0.694069E+01   0.379986E+01  -0.284909E+03
   0.987893E+02   0.795542E+02   0.685432E+01   0.374503E+01  -0.287253E+03
   0.100312E+03   0.793326E+02   0.688148E+01   0.361206E+01  -0.284105E+03
   0.100191E+03   0.799565E+02   0.686773E+01   0.352582E+01  -0.284583E+03
   0.100286E+03   0.791017E+02   0.699917E+01   0.329326E+01  -0.285725E+03
   0.100219E+03   0.797635E+02   0.700014E+01   0.386646E+01  -0.283925E+03
   0.100533E+03   0.802446E+02   0.702367E+01   0.409808E+01  -0.285091E+03
   0.100326E+03   0.789333E+02   0.697478E+01   0.383455E+01  -0.284154E+03
   0.100937E+03   0.800470E+02   0.687081E+01   0.405330E+01  -0.285585E+03
   0.100284E+03   0.793144E+02   0.707665E+01   0.382131E+01  -0.283853E+03
   0.100569E+03   0.803224E+02   0.661891E+01   0.441082E+01  -0.288233E+03
   0.100162E+03   0.803263E+02   0.704748E+01   0.422468E+01  -0.285274E+03
   0.100141E+03   0.794194E+02   0.706658E+01   0.400587E+01  -0.283953E+03
   0.100501E+03   0.790564E+02   0.689254E+01   0.372264E+01  -0.284302E+03
   0.100211E+03   0.793690E+02   0.684807E+01   0.390856E+01  -0.283844E+03
   0.997100E+02   0.799632E+02   0.697088E+01   0.379669E+01  -0.284389E+03
   0.100103E+03   0.787422E+02   0.707781E+01   0.462281E+01  -0.286699E+03
   0.100888E+03   0.781773E+02   0.684704E+01   0.456708E+01  -0.288111E+03
   0.100156E+03   0.789489E+02   0.702779E+01   0.385863E+01  -0.284057E+03
   0.100339E+03   0.796164E+02   0.700490E+01   0.422514E+01  -0.284640E+03
   0.994623E+02   0.788984E+02   0.702366E+01   0.403358E+01  -0.285020E+03
   0.100200E+03   0.807263E+02   0.692950E+01   0.420049E+01  -0.286031E+03
   0.100939E+03   0.802502E+02   0.668479E+01   0.399239E+01  -0.288051E+03
   0.100793E+03   0.792954E+02   0.692065E+01   0.405946E+01  -0.284869E+03
   0.100165E+03   0.787461E+02   0.702540E+01   0.397627E+01  -0.284404E+03
   0.100327E+03   0.799062E+02   0.653450E+01   0.421799E+01  -0.287295E+03
