               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.658156E+02   0.239461E-02
Maximum           0.747991E+02   0.164151E+02
Range             0.898350E+01   0.164127E+02
Mean              0.696472E+02   0.128728E+01
Median            0.696667E+02   0.921765E+00
Q10%              0.684711E+02   0.156785E+00
Q25%              0.690864E+02   0.418353E+00
Q75%              0.701950E+02   0.162209E+01
Q90%              0.706881E+02   0.259308E+01
St.Dev.           0.994995E+00   0.149665E+01
Variance          0.990015E+00   0.223995E+01
CV                0.142862E-01   0.116265E+01
Skewness          0.220316E+00   0.435160E+01
Kurtosis          0.304202E+01   0.308321E+02
MaxPost           0.695293E+02   0.285337E-01
