               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.993571E+02   0.215642E-02
Maximum           0.101235E+03   0.198418E+01
Range             0.187790E+01   0.198202E+01
Mean              0.100332E+03   0.377368E+00
Median            0.100325E+03   0.307184E+00
Q10%              0.100008E+03   0.537448E-01
Q25%              0.100171E+03   0.133844E+00
Q75%              0.100493E+03   0.548440E+00
Q90%              0.100649E+03   0.783845E+00
St.Dev.           0.256508E+00   0.308338E+00
Variance          0.657961E-01   0.950723E-01
CV                0.255660E-02   0.817074E+00
Skewness         -0.504655E-01   0.128901E+01
Kurtosis          0.529993E+00   0.227908E+01
MaxPost           0.100356E+03   0.933941E-02
