               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.249784E+02   0.334370E+02   0.336409E+01   0.703488E-02
Maximum           0.755642E+02   0.730330E+02   0.384941E+01   0.305719E+02
Range             0.505858E+02   0.395960E+02   0.485320E+00   0.305649E+02
Mean              0.617656E+02   0.649618E+02   0.356553E+01   0.147108E+01
Median            0.620849E+02   0.651938E+02   0.356207E+01   0.765005E+00
Q10%              0.563492E+02   0.640759E+02   0.340984E+01   0.125326E+00
Q25%              0.589224E+02   0.646419E+02   0.346664E+01   0.304375E+00
Q75%              0.645667E+02   0.656891E+02   0.365466E+01   0.145826E+01
Q90%              0.675350E+02   0.661932E+02   0.371468E+01   0.279539E+01
St.Dev.           0.492756E+01   0.262836E+01   0.117847E+00   0.285661E+01
Variance          0.242808E+02   0.690829E+01   0.138879E-01   0.816023E+01
CV                0.797783E-01   0.404602E-01   0.330517E-01   0.194185E+01
Skewness         -0.116720E+01  -0.747519E+01   0.228969E+00   0.576287E+01
Kurtosis          0.731749E+01   0.742762E+02  -0.719962E+00   0.414063E+02
MaxPost           0.617604E+02   0.652862E+02   0.347531E+01   0.324684E-01
