               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.109195E+03   0.478486E-03
Maximum           0.110469E+03   0.166073E+01
Range             0.127400E+01   0.166025E+01
Mean              0.109869E+03   0.484885E+00
Median            0.109885E+03   0.446599E+00
Q10%              0.109587E+03   0.987956E-01
Q25%              0.109737E+03   0.236606E+00
Q75%              0.110017E+03   0.691809E+00
Q90%              0.110127E+03   0.930535E+00
St.Dev.           0.220944E+00   0.314167E+00
Variance          0.488164E-01   0.987012E-01
CV                0.201098E-02   0.647921E+00
Skewness         -0.236381E+00   0.677808E+00
Kurtosis          0.406552E+00   0.180166E+00
MaxPost           0.109874E+03   0.482467E-01
