               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.993576E+02   0.770929E-03
Maximum           0.100349E+03   0.659990E+00
Range             0.991400E+00   0.659219E+00
Mean              0.998059E+02   0.220406E+00
Median            0.998080E+02   0.198050E+00
Q10%              0.996150E+02   0.424848E-01
Q25%              0.997093E+02   0.982834E-01
Q75%              0.999055E+02   0.321004E+00
Q90%              0.999752E+02   0.438302E+00
St.Dev.           0.148750E+00   0.149124E+00
Variance          0.221266E-01   0.222381E-01
CV                0.149039E-02   0.676590E+00
Skewness         -0.762385E-01   0.623638E+00
Kurtosis          0.322808E+00  -0.313345E+00
MaxPost           0.997936E+02   0.149175E-01
