               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.782125E+02   0.768130E+02   0.819617E+01   0.273462E-02
Maximum           0.845601E+02   0.924616E+02   0.906266E+01   0.680554E+01
Range             0.634760E+01   0.156486E+02   0.866490E+00   0.680281E+01
Mean              0.814591E+02   0.815210E+02   0.863263E+01   0.700282E+00
Median            0.815194E+02   0.815096E+02   0.865058E+01   0.548036E+00
Q10%              0.805407E+02   0.803674E+02   0.824189E+01   0.863357E-01
Q25%              0.810275E+02   0.809323E+02   0.839055E+01   0.217888E+00
Q75%              0.819331E+02   0.820971E+02   0.889749E+01   0.953210E+00
Q90%              0.823682E+02   0.826423E+02   0.899195E+01   0.141236E+01
St.Dev.           0.849106E+00   0.124837E+01   0.273974E+00   0.699229E+00
Variance          0.720982E+00   0.155842E+01   0.750619E-01   0.488921E+00
CV                0.104237E-01   0.153134E-01   0.317370E-01   0.998496E+00
Skewness         -0.282174E+00   0.223898E+01  -0.821705E-01   0.319120E+01
Kurtosis          0.198745E+01   0.192648E+02  -0.134400E+01   0.182865E+02
MaxPost           0.816828E+02   0.809652E+02   0.882954E+01   0.726161E-01
