               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.246763E+00   0.446689E+01   0.638329E+01   0.227984E+00
Maximum           0.922633E+03   0.108675E+04   0.684591E+01   0.108841E+04
Range             0.922386E+03   0.108228E+04   0.462620E+00   0.108818E+04
Mean              0.132593E+03   0.156256E+03   0.661019E+01   0.131033E+03
Median            0.940254E+02   0.960318E+02   0.659475E+01   0.215604E+02
Q10%              0.644505E+02   0.695659E+02   0.643431E+01   0.342379E+01
Q25%              0.866396E+02   0.880401E+02   0.650000E+01   0.736504E+01
Q75%              0.106421E+03   0.118338E+03   0.673745E+01   0.102641E+03
Q90%              0.222652E+03   0.330576E+03   0.680297E+01   0.540052E+03
St.Dev.           0.142561E+03   0.179255E+03   0.134030E+00   0.239052E+03
Variance          0.203237E+05   0.321324E+05   0.179640E-01   0.571459E+05
CV                0.107518E+01   0.114719E+01   0.202762E-01   0.182436E+01
Skewness          0.363145E+01   0.302928E+01   0.132014E+00   0.225075E+01
Kurtosis          0.135175E+02   0.894098E+01  -0.121924E+01   0.407432E+01
MaxPost           0.946941E+02   0.926808E+02   0.661270E+01   0.227984E+00
