               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.969939E+02   0.890645E+02   0.718161E+00   0.516276E-02
Maximum           0.102307E+03   0.922815E+02   0.111988E+01   0.324252E+01
Range             0.531310E+01   0.321700E+01   0.401719E+00   0.323736E+01
Mean              0.998367E+02   0.905554E+02   0.922403E+00   0.954973E+00
Median            0.998641E+02   0.905654E+02   0.927368E+00   0.897975E+00
Q10%              0.989761E+02   0.898614E+02   0.750887E+00   0.210996E+00
Q25%              0.993709E+02   0.902300E+02   0.820061E+00   0.495893E+00
Q75%              0.100334E+03   0.908726E+02   0.102282E+01   0.132864E+01
Q90%              0.100666E+03   0.912276E+02   0.108017E+01   0.174710E+01
St.Dev.           0.721000E+00   0.521224E+00   0.117748E+00   0.612469E+00
Variance          0.519841E+00   0.271674E+00   0.138646E-01   0.375119E+00
CV                0.722180E-02   0.575585E-02   0.127653E+00   0.641347E+00
Skewness         -0.234395E+00   0.480235E-01  -0.926987E-01   0.754043E+00
Kurtosis          0.809808E+00   0.294245E+00  -0.120005E+01   0.536317E+00
MaxPost           0.100060E+03   0.905607E+02   0.995283E+00   0.272010E-01
