               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.980024E+02   0.976780E+02   0.180434E+01   0.126668E-02
Maximum           0.109758E+03   0.105100E+03   0.295853E+01   0.623681E+01
Range             0.117556E+02   0.742200E+01   0.115419E+01   0.623554E+01
Mean              0.103310E+03   0.102076E+03   0.238046E+01   0.885749E+00
Median            0.103255E+03   0.102112E+03   0.239860E+01   0.705245E+00
Q10%              0.101877E+03   0.101137E+03   0.191561E+01   0.139394E+00
Q25%              0.102472E+03   0.101620E+03   0.211830E+01   0.338057E+00
Q75%              0.104033E+03   0.102527E+03   0.264934E+01   0.121554E+01
Q90%              0.104812E+03   0.103024E+03   0.277114E+01   0.181593E+01
St.Dev.           0.126499E+01   0.840941E+00   0.322543E+00   0.774207E+00
Variance          0.160021E+01   0.707181E+00   0.104034E+00   0.599397E+00
CV                0.122447E-01   0.823839E-02   0.135496E+00   0.874071E+00
Skewness          0.381336E+00  -0.439898E+00  -0.115420E+00   0.204817E+01
Kurtosis          0.203926E+01   0.374110E+01  -0.104288E+01   0.695049E+01
MaxPost           0.103318E+03   0.101900E+03   0.239095E+01   0.231329E-01
