               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.112709E+03   0.543301E-03
Maximum           0.114787E+03   0.202034E+01
Range             0.207800E+01   0.201980E+01
Mean              0.113791E+03   0.629484E+00
Median            0.113801E+03   0.571079E+00
Q10%              0.113438E+03   0.130653E+00
Q25%              0.113605E+03   0.294196E+00
Q75%              0.113973E+03   0.892702E+00
Q90%              0.114161E+03   0.120045E+01
St.Dev.           0.275605E+00   0.418793E+00
Variance          0.759583E-01   0.175388E+00
CV                0.242204E-02   0.665296E+00
Skewness         -0.260398E-01   0.741069E+00
Kurtosis          0.330301E+00   0.168491E+00
MaxPost           0.113829E+03   0.898550E-01
