               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.764941E+02   0.370492E+01
Maximum           0.815376E+02   0.755510E+01
Range             0.504350E+01   0.385018E+01
Mean              0.793642E+02   0.509524E+01
Median            0.793931E+02   0.502870E+01
Q10%              0.782799E+02   0.435966E+01
Q25%              0.787743E+02   0.465552E+01
Q75%              0.799671E+02   0.548109E+01
Q90%              0.804504E+02   0.598177E+01
St.Dev.           0.860903E+00   0.631312E+00
Variance          0.741153E+00   0.398555E+00
CV                0.108475E-01   0.123902E+00
Skewness         -0.164939E+00   0.542483E+00
Kurtosis         -0.746866E-01   0.441746E+00
MaxPost           0.794141E+02   0.487159E+01
