               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.100271E+03   0.749859E-03
Maximum           0.103608E+03   0.285039E+01
Range             0.333700E+01   0.284964E+01
Mean              0.101891E+03   0.622373E+00
Median            0.101883E+03   0.564179E+00
Q10%              0.101431E+03   0.163635E+00
Q25%              0.101653E+03   0.337756E+00
Q75%              0.102137E+03   0.821665E+00
Q90%              0.102356E+03   0.114034E+01
St.Dev.           0.375751E+00   0.403824E+00
Variance          0.141189E+00   0.163074E+00
CV                0.368778E-02   0.648845E+00
Skewness          0.788179E-01   0.118075E+01
Kurtosis          0.120533E+01   0.274951E+01
MaxPost           0.101871E+03   0.423257E+00
