               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.954239E+02   0.649271E+01
Maximum           0.107890E+03   0.154584E+02
Range             0.124661E+02   0.896569E+01
Mean              0.100743E+03   0.948822E+01
Median            0.100656E+03   0.933733E+01
Q10%              0.985727E+02   0.792784E+01
Q25%              0.994973E+02   0.855797E+01
Q75%              0.101972E+03   0.102631E+02
Q90%              0.102941E+03   0.112043E+02
St.Dev.           0.176662E+01   0.132225E+01
Variance          0.312094E+01   0.174833E+01
CV                0.175358E-01   0.139356E+00
Skewness          0.268197E+00   0.711474E+00
Kurtosis          0.565398E+00   0.828875E+00
MaxPost           0.100698E+03   0.890931E+01
