               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.758576E+02   0.800526E+02   0.805810E+01   0.216314E+01
Maximum           0.813905E+02   0.868855E+02   0.915992E+01   0.542850E+01
Range             0.553290E+01   0.683290E+01   0.110182E+01   0.326536E+01
Mean              0.785786E+02   0.829318E+02   0.850449E+01   0.362979E+01
Median            0.785643E+02   0.829493E+02   0.843925E+01   0.358825E+01
Q10%              0.774676E+02   0.813850E+02   0.818469E+01   0.297208E+01
Q25%              0.779968E+02   0.821722E+02   0.824966E+01   0.324878E+01
Q75%              0.791465E+02   0.836289E+02   0.871408E+01   0.395409E+01
Q90%              0.796607E+02   0.844436E+02   0.896247E+01   0.436473E+01
St.Dev.           0.844370E+00   0.119455E+01   0.282530E+00   0.536693E+00
Variance          0.712960E+00   0.142694E+01   0.798231E-01   0.288039E+00
CV                0.107455E-01   0.144040E-01   0.332212E-01   0.147858E+00
Skewness         -0.123367E+00   0.270244E+00   0.582594E+00   0.347493E+00
Kurtosis          0.979503E-02   0.316690E+00  -0.764210E+00   0.221009E+00
MaxPost           0.783051E+02   0.823700E+02   0.815575E+01   0.328927E+01
