               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.122262E+03   0.119662E+03   0.286634E+01   0.382386E-02
Maximum           0.128483E+03   0.127333E+03   0.366622E+01   0.473155E+01
Range             0.622100E+01   0.767100E+01   0.799880E+00   0.472773E+01
Mean              0.124574E+03   0.125116E+03   0.328493E+01   0.770560E+00
Median            0.124579E+03   0.125155E+03   0.327844E+01   0.679087E+00
Q10%              0.123754E+03   0.124107E+03   0.298248E+01   0.135376E+00
Q25%              0.124155E+03   0.124625E+03   0.315736E+01   0.374935E+00
Q75%              0.124984E+03   0.125672E+03   0.344038E+01   0.105823E+01
Q90%              0.125328E+03   0.126179E+03   0.358424E+01   0.147215E+01
St.Dev.           0.671123E+00   0.905384E+00   0.204095E+00   0.547622E+00
Variance          0.450406E+00   0.819720E+00   0.416546E-01   0.299890E+00
CV                0.538734E-02   0.723636E-02   0.621306E-01   0.710680E+00
Skewness          0.623596E+00  -0.123379E+01  -0.311822E-01   0.148497E+01
Kurtosis          0.308814E+01   0.532633E+01  -0.741076E+00   0.551105E+01
MaxPost           0.124210E+03   0.125441E+03   0.328104E+01   0.460777E-01
