               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.991176E+02   0.806502E-01
Maximum           0.117015E+03   0.214494E+02
Range             0.178974E+02   0.213687E+02
Mean              0.108932E+03   0.375419E+01
Median            0.108948E+03   0.313099E+01
Q10%              0.106923E+03   0.169840E+01
Q25%              0.107996E+03   0.222300E+01
Q75%              0.109930E+03   0.439168E+01
Q90%              0.111230E+03   0.659705E+01
St.Dev.           0.203648E+01   0.255940E+01
Variance          0.414727E+01   0.655052E+01
CV                0.186950E-01   0.681745E+00
Skewness         -0.466835E+00   0.300081E+01
Kurtosis          0.353069E+01   0.137601E+02
MaxPost           0.108887E+03   0.209857E+01
