               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.961652E+02   0.100347E+03   0.114317E+01   0.312833E-02
Maximum           0.101328E+03   0.103474E+03   0.378832E+01   0.278927E+01
Range             0.516280E+01   0.312700E+01   0.264515E+01   0.278614E+01
Mean              0.981441E+02   0.101900E+03   0.179290E+01   0.827442E+00
Median            0.981771E+02   0.101922E+03   0.179183E+01   0.776775E+00
Q10%              0.972709E+02   0.101442E+03   0.157447E+01   0.266987E+00
Q25%              0.977033E+02   0.101638E+03   0.169684E+01   0.512236E+00
Q75%              0.985538E+02   0.102119E+03   0.189713E+01   0.111075E+01
Q90%              0.989430E+02   0.102346E+03   0.195198E+01   0.136577E+01
St.Dev.           0.703627E+00   0.395741E+00   0.192508E+00   0.447574E+00
Variance          0.495091E+00   0.156611E+00   0.370593E-01   0.200323E+00
CV                0.716932E-02   0.388360E-02   0.107372E+00   0.540914E+00
Skewness          0.306461E+00   0.146511E+00   0.379579E+01   0.701879E+00
Kurtosis          0.144428E+01   0.133071E+01   0.345277E+02   0.107079E+01
MaxPost           0.980837E+02   0.101929E+03   0.173445E+01   0.564253E+00
