               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.111062E+03   0.102381E+03   0.405141E+01   0.118008E-02
Maximum           0.115922E+03   0.106188E+03   0.461140E+01   0.353190E+01
Range             0.486000E+01   0.380700E+01   0.559990E+00   0.353072E+01
Mean              0.113214E+03   0.104037E+03   0.433495E+01   0.554611E+00
Median            0.113217E+03   0.104038E+03   0.434171E+01   0.441104E+00
Q10%              0.112294E+03   0.103451E+03   0.410473E+01   0.622746E-01
Q25%              0.112798E+03   0.103724E+03   0.418689E+01   0.219484E+00
Q75%              0.113650E+03   0.104339E+03   0.448234E+01   0.760348E+00
Q90%              0.114091E+03   0.104612E+03   0.455892E+01   0.112896E+01
St.Dev.           0.693744E+00   0.493207E+00   0.163932E+00   0.493029E+00
Variance          0.481281E+00   0.243253E+00   0.268738E-01   0.243078E+00
CV                0.612772E-02   0.474069E-02   0.378164E-01   0.888964E+00
Skewness          0.413190E-01   0.204400E+00  -0.805461E-01   0.217286E+01
Kurtosis          0.340945E+00   0.150912E+01  -0.119276E+01   0.808057E+01
MaxPost           0.113401E+03   0.104052E+03   0.429619E+01   0.367838E-01
