               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.105411E+03   0.278480E+01
Maximum           0.111676E+03   0.648209E+01
Range             0.626500E+01   0.369729E+01
Mean              0.108773E+03   0.416179E+01
Median            0.108740E+03   0.411491E+01
Q10%              0.107799E+03   0.344302E+01
Q25%              0.108219E+03   0.375702E+01
Q75%              0.109334E+03   0.453342E+01
Q90%              0.109814E+03   0.490577E+01
St.Dev.           0.816836E+00   0.588513E+00
Variance          0.667222E+00   0.346347E+00
CV                0.750958E-02   0.141409E+00
Skewness         -0.245598E+00   0.549758E+00
Kurtosis          0.839935E+00   0.716833E+00
MaxPost           0.108798E+03   0.387464E+01
