               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.679338E+02   0.164225E-01
Maximum           0.125905E+03   0.842543E+02
Range             0.579712E+02   0.842379E+02
Mean              0.928805E+02   0.666079E+01
Median            0.932910E+02   0.358285E+01
Q10%              0.884771E+02   0.103401E+01
Q25%              0.918399E+02   0.173640E+01
Q75%              0.945262E+02   0.693012E+01
Q90%              0.970046E+02   0.138682E+02
St.Dev.           0.520516E+01   0.965125E+01
Variance          0.270937E+02   0.931466E+02
CV                0.560414E-01   0.144897E+01
Skewness         -0.263298E+00   0.377582E+01
Kurtosis          0.929676E+01   0.183345E+02
MaxPost           0.934381E+02   0.132933E+01
