               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.112928E+03   0.102523E+03   0.896238E+01   0.394858E-03
Maximum           0.114745E+03   0.104245E+03   0.904321E+01   0.195255E+01
Range             0.181700E+01   0.172200E+01   0.808300E-01   0.195216E+01
Mean              0.113809E+03   0.103370E+03   0.900135E+01   0.488501E+00
Median            0.113819E+03   0.103370E+03   0.900211E+01   0.451917E+00
Q10%              0.113488E+03   0.102995E+03   0.896984E+01   0.804273E-01
Q25%              0.113644E+03   0.103155E+03   0.898165E+01   0.221403E+00
Q75%              0.113963E+03   0.103576E+03   0.902154E+01   0.713332E+00
Q90%              0.114117E+03   0.103790E+03   0.903224E+01   0.952678E+00
St.Dev.           0.252862E+00   0.317603E+00   0.229925E-01   0.339679E+00
Variance          0.639391E-01   0.100872E+00   0.528656E-03   0.115382E+00
CV                0.222180E-02   0.307248E-02   0.255434E-02   0.695350E+00
Skewness          0.906072E-01   0.132815E+00   0.656669E-01   0.699157E+00
Kurtosis          0.799850E+00   0.198555E-01  -0.112693E+01   0.167964E+00
MaxPost           0.113818E+03   0.103376E+03   0.903627E+01   0.347358E-01
