               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.109446E+03   0.434072E+01
Maximum           0.117496E+03   0.106918E+02
Range             0.805000E+01   0.635108E+01
Mean              0.113619E+03   0.626406E+01
Median            0.113568E+03   0.616385E+01
Q10%              0.112148E+03   0.521039E+01
Q25%              0.112867E+03   0.562300E+01
Q75%              0.114425E+03   0.677217E+01
Q90%              0.115103E+03   0.740298E+01
St.Dev.           0.116370E+01   0.911272E+00
Variance          0.135420E+01   0.830416E+00
CV                0.102421E-01   0.145476E+00
Skewness         -0.166473E+00   0.807755E+00
Kurtosis          0.524939E+00   0.165577E+01
MaxPost           0.113544E+03   0.587972E+01
