               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.986799E+02   0.115522E+03   0.112289E+01   0.213597E-03
Maximum           0.101958E+03   0.116825E+03   0.137921E+01   0.116643E+01
Range             0.327810E+01   0.130300E+01   0.256320E+00   0.116622E+01
Mean              0.100039E+03   0.116151E+03   0.124910E+01   0.272026E+00
Median            0.100023E+03   0.116148E+03   0.124813E+01   0.218590E+00
Q10%              0.994220E+02   0.115856E+03   0.114203E+01   0.350557E-01
Q25%              0.996962E+02   0.115993E+03   0.118376E+01   0.931712E-01
Q75%              0.100416E+03   0.116309E+03   0.131876E+01   0.396690E+00
Q90%              0.100680E+03   0.116439E+03   0.135308E+01   0.581531E+00
St.Dev.           0.499792E+00   0.223489E+00   0.763278E-01   0.223877E+00
Variance          0.249792E+00   0.499474E-01   0.582593E-02   0.501209E-01
CV                0.499599E-02   0.192412E-02   0.611064E-01   0.822998E+00
Skewness          0.969764E-01   0.492799E-01  -0.763175E-02   0.119285E+01
Kurtosis          0.514421E-01  -0.102997E+00  -0.129671E+01   0.144743E+01
MaxPost           0.999935E+02   0.116165E+03   0.126090E+01   0.634426E-02
