               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.826551E+02   0.831405E+02   0.112080E+01   0.257323E-02
Maximum           0.976693E+02   0.943680E+02   0.303095E+01   0.516519E+01
Range             0.150142E+02   0.112275E+02   0.191015E+01   0.516262E+01
Mean              0.911309E+02   0.895851E+02   0.223975E+01   0.152374E+01
Median            0.910851E+02   0.897380E+02   0.228378E+01   0.138324E+01
Q10%              0.899317E+02   0.878056E+02   0.142443E+01   0.425578E+00
Q25%              0.904858E+02   0.888372E+02   0.188545E+01   0.820639E+00
Q75%              0.918169E+02   0.903980E+02   0.266652E+01   0.198422E+01
Q90%              0.926949E+02   0.910293E+02   0.287596E+01   0.284722E+01
St.Dev.           0.141629E+01   0.134782E+01   0.519775E+00   0.936541E+00
Variance          0.200587E+01   0.181662E+01   0.270166E+00   0.877110E+00
CV                0.155412E-01   0.150451E-01   0.232069E+00   0.614635E+00
Skewness         -0.847313E+00  -0.433841E+00  -0.462313E+00   0.906196E+00
Kurtosis          0.690061E+01   0.176324E+01  -0.766732E+00   0.104916E+01
MaxPost           0.919183E+02   0.901749E+02   0.212412E+01   0.263846E+00
