               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.986996E+02   0.986301E+02   0.262348E+00   0.204581E-02
Maximum           0.101265E+03   0.103192E+03   0.575294E+01   0.109946E+01
Range             0.256540E+01   0.456190E+01   0.549059E+01   0.109741E+01
Mean              0.998280E+02   0.100234E+03   0.384301E+01   0.315177E+00
Median            0.998116E+02   0.998915E+02   0.417570E+01   0.287861E+00
Q10%              0.995196E+02   0.993436E+02   0.111764E+01   0.497168E-01
Q25%              0.996565E+02   0.996253E+02   0.236479E+01   0.128204E+00
Q75%              0.100005E+03   0.100777E+03   0.550643E+01   0.458416E+00
Q90%              0.100171E+03   0.101669E+03   0.565943E+01   0.624224E+00
St.Dev.           0.296839E+00   0.904592E+00   0.176178E+01   0.225373E+00
Variance          0.881132E-01   0.818287E+00   0.310385E+01   0.507929E-01
CV                0.297350E-02   0.902476E-02   0.458436E+00   0.715069E+00
Skewness          0.140989E+00   0.103763E+01  -0.559370E+00   0.763232E+00
Kurtosis          0.231699E+01   0.370324E+00  -0.105796E+01   0.214762E+00
MaxPost           0.997730E+02   0.101149E+03   0.565495E+01   0.394706E-01
