X1_obs         X1_true        Y1_obs         Y1_unbiased    Y1_sim         Y1_res         Y1_stdres      
   0.232685E+00   0.232685E+00   0.100221E+03   0.100221E+03   0.997730E+02   0.448472E+00   0.432014E+00
   0.271961E+00   0.271961E+00   0.983869E+02   0.983869E+02   0.997730E+02  -0.138614E+01  -0.115603E+01
   0.283157E+00   0.283157E+00   0.993999E+02   0.993999E+02   0.997730E+02  -0.373088E+00  -0.314184E+00
   0.366522E+00   0.366522E+00   0.101202E+03   0.101202E+03   0.997730E+02   0.142861E+01   0.104494E+01
   0.630759E+00   0.630759E+00   0.995886E+02   0.995886E+02   0.997730E+02  -0.184401E+00  -0.130745E+00
   0.701168E+00   0.701168E+00   0.100511E+03   0.100511E+03   0.997730E+02   0.737657E+00   0.624600E+00
   0.768264E+00   0.768264E+00   0.997832E+02   0.997832E+02   0.997730E+02   0.101801E-01   0.182461E-01
   0.822948E+00   0.822948E+00   0.998400E+02   0.998400E+02   0.997730E+02   0.670304E-01   0.556346E-01
   0.120245E+01   0.120245E+01   0.989767E+02   0.989767E+02   0.997730E+02  -0.796314E+00  -0.838968E+00
   0.123219E+01   0.123219E+01   0.101501E+03   0.101501E+03   0.997730E+02   0.172815E+01   0.181750E+01
   0.140765E+01   0.140765E+01   0.984142E+02   0.984142E+02   0.997730E+02  -0.135883E+01  -0.100754E+01
   0.184744E+01   0.184744E+01   0.101929E+03   0.101929E+03   0.997730E+02   0.215645E+01   0.128109E+01
   0.202431E+01   0.202431E+01   0.103198E+03   0.103198E+03   0.997730E+02   0.342516E+01   0.155361E+01
   0.207070E+01   0.207070E+01   0.997216E+02   0.997216E+02   0.997730E+02  -0.513518E-01  -0.482913E-01
   0.228217E+01   0.228217E+01   0.101195E+03   0.101195E+03   0.997730E+02   0.142186E+01   0.125792E+01
   0.229157E+01   0.229157E+01   0.100161E+03   0.100161E+03   0.997730E+02   0.388389E+00   0.301650E+00
   0.229279E+01   0.229279E+01   0.989169E+02   0.989169E+02   0.997730E+02  -0.856075E+00  -0.671804E+00
   0.239089E+01   0.239089E+01   0.977368E+02   0.977368E+02   0.997730E+02  -0.203622E+01  -0.709389E+00
   0.366216E+01   0.366216E+01   0.997159E+02   0.997159E+02   0.997730E+02  -0.570654E-01  -0.344225E-01
   0.370377E+01   0.370377E+01   0.101298E+03   0.101298E+03   0.997730E+02   0.152477E+01   0.591982E+00
   0.381428E+01   0.381428E+01   0.993460E+02   0.993460E+02   0.997730E+02  -0.426997E+00  -0.404554E+00
   0.386793E+01   0.386793E+01   0.100996E+03   0.100996E+03   0.997730E+02   0.122348E+01   0.100027E+01
   0.391224E+01   0.391224E+01   0.993024E+02   0.993024E+02   0.997730E+02  -0.470584E+00  -0.387995E+00
   0.412743E+01   0.412743E+01   0.101151E+03   0.101151E+03   0.997730E+02   0.137818E+01   0.105241E+01
   0.418050E+01   0.418050E+01   0.978625E+02   0.978625E+02   0.997730E+02  -0.191048E+01  -0.116624E+01
   0.428459E+01   0.428459E+01   0.990848E+02   0.990848E+02   0.997730E+02  -0.688193E+00  -0.733541E+00
   0.441016E+01   0.441016E+01   0.956509E+02   0.956509E+02   0.997730E+02  -0.412205E+01  -0.208625E+01
   0.487801E+01   0.487801E+01   0.997054E+02   0.997054E+02   0.997730E+02  -0.675902E-01  -0.739900E-01
   0.492533E+01   0.492533E+01   0.990191E+02   0.990191E+02   0.997730E+02  -0.753932E+00  -0.354961E+00
   0.507478E+01   0.507478E+01   0.983912E+02   0.983912E+02   0.997730E+02  -0.138180E+01  -0.923963E+00
   0.509748E+01   0.509748E+01   0.982634E+02   0.982634E+02   0.997730E+02  -0.150961E+01  -0.122372E+01
   0.525514E+01   0.525514E+01   0.994258E+02   0.994258E+02   0.997730E+02  -0.347162E+00  -0.489722E+00
   0.539085E+01   0.539085E+01   0.983239E+02   0.983239E+02   0.997730E+02  -0.144908E+01  -0.882468E+00
   0.548055E+01   0.548055E+01   0.100095E+03   0.100095E+03   0.997730E+02   0.321682E+00   0.199232E+00
   0.569161E+01   0.569161E+01   0.100633E+03   0.100633E+03   0.101149E+03  -0.516490E+00  -0.361456E+00
   0.575408E+01   0.575408E+01   0.101443E+03   0.101443E+03   0.101149E+03   0.293812E+00   0.333933E+00
