res1           res2           tau1           Y1_gamma1      LogPost        
   0.100128E+03   0.992425E+02   0.374289E+01   0.335945E+00  -0.588725E+02
   0.100093E+03   0.992425E+02   0.294340E+01   0.198822E-01  -0.588423E+02
   0.100093E+03   0.993971E+02   0.493291E+01   0.461898E+00  -0.597401E+02
   0.100046E+03   0.993849E+02   0.133706E+01   0.568751E+00  -0.599892E+02
   0.100032E+03   0.998964E+02   0.477662E+01   0.931141E+00  -0.615319E+02
   0.995729E+02   0.102567E+03   0.570095E+01   0.384270E+00  -0.580827E+02
   0.998976E+02   0.992588E+02   0.274882E+01   0.109946E+01  -0.624294E+02
   0.997228E+02   0.996922E+02   0.233624E+01   0.130691E+00  -0.583216E+02
   0.999435E+02   0.100459E+03   0.523901E+01   0.182620E+00  -0.587731E+02
   0.999435E+02   0.997676E+02   0.560365E+01   0.124570E+00  -0.589216E+02
   0.996938E+02   0.996062E+02   0.329742E+01   0.497340E+00  -0.591020E+02
   0.100006E+03   0.100472E+03   0.524306E+01   0.463578E+00  -0.595644E+02
   0.100178E+03   0.100472E+03   0.520707E+01   0.449731E+00  -0.606277E+02
   0.995769E+02   0.997420E+02   0.249876E+01   0.226782E+00  -0.591122E+02
   0.100509E+03   0.995823E+02   0.675799E+00   0.394190E+00  -0.601512E+02
   0.997441E+02   0.995276E+02   0.273855E+01   0.471692E+00  -0.589009E+02
   0.100378E+03   0.993037E+02   0.380752E+01   0.139983E+00  -0.595012E+02
   0.999628E+02   0.996939E+02   0.400437E+01   0.172179E+00  -0.579079E+02
   0.996871E+02   0.999691E+02   0.488055E+01   0.421441E+00  -0.591162E+02
   0.996951E+02   0.100834E+03   0.553960E+01   0.421441E+00  -0.573124E+02
   0.999817E+02   0.100678E+03   0.553960E+01   0.446140E+00  -0.583106E+02
   0.999532E+02   0.991479E+02   0.464230E+01   0.463596E+00  -0.598073E+02
   0.997816E+02   0.993040E+02   0.381967E+01   0.563215E+00  -0.594258E+02
   0.997816E+02   0.100095E+03   0.448599E+01   0.531104E+00  -0.595726E+02
   0.993001E+02   0.997343E+02   0.112081E+01   0.251609E+00  -0.594720E+02
   0.100123E+03   0.997343E+02   0.163405E+01   0.250482E+00  -0.588023E+02
   0.100252E+03   0.993951E+02   0.352968E+01   0.350593E-01  -0.587524E+02
   0.993971E+02   0.995835E+02   0.380074E+01   0.696727E+00  -0.612144E+02
   0.995276E+02   0.995097E+02   0.192420E+01   0.696727E+00  -0.605580E+02
   0.100648E+03   0.999178E+02   0.177040E+01   0.595859E+00  -0.619362E+02
   0.100408E+03   0.997180E+02   0.362962E+01   0.615295E+00  -0.600938E+02
   0.997850E+02   0.997003E+02   0.381078E+01   0.312982E+00  -0.583842E+02
   0.998319E+02   0.993331E+02   0.515422E+01   0.208055E+00  -0.594658E+02
   0.998070E+02   0.992841E+02   0.447535E+01   0.622884E+00  -0.598584E+02
   0.998271E+02   0.999291E+02   0.245996E+01   0.231077E+00  -0.586879E+02
   0.995249E+02   0.100093E+03   0.147310E+01   0.222946E+00  -0.595842E+02
   0.998610E+02   0.996438E+02   0.184961E+01   0.292898E+00  -0.584502E+02
   0.100221E+03   0.996500E+02   0.110849E+01   0.378907E+00  -0.593101E+02
   0.993942E+02   0.996500E+02   0.291205E+01   0.418324E+00  -0.604198E+02
   0.999748E+02   0.998087E+02   0.287306E+01   0.932990E-01  -0.580678E+02
   0.998359E+02   0.992570E+02   0.235782E+01   0.117096E+00  -0.586721E+02
   0.999057E+02   0.997453E+02   0.134809E+01   0.473761E+00  -0.588463E+02
   0.100029E+03   0.100143E+03   0.458794E+01   0.281955E+00  -0.593433E+02
   0.996575E+02   0.102185E+03   0.548780E+01   0.591795E+00  -0.587128E+02
   0.998505E+02   0.102020E+03   0.548780E+01   0.204581E-02  -0.571353E+02
   0.998113E+02   0.100926E+03   0.544650E+01   0.723501E+00  -0.590733E+02
   0.997681E+02   0.100326E+03   0.534111E+01   0.436026E+00  -0.582060E+02
   0.997490E+02   0.101808E+03   0.551459E+01   0.214096E+00  -0.568689E+02
   0.997490E+02   0.998446E+02   0.459938E+01   0.528399E+00  -0.592173E+02
   0.100539E+03   0.100282E+03   0.661509E+00   0.953372E+00  -0.635258E+02
   0.998118E+02   0.996061E+02   0.519074E+00   0.572713E-02  -0.587290E+02
   0.996793E+02   0.996061E+02   0.326592E+00   0.240062E-01  -0.587953E+02
   0.100440E+03   0.997756E+02   0.365712E+01   0.321139E+00  -0.596897E+02
   0.100028E+03   0.997018E+02   0.267878E+01   0.321139E+00  -0.582166E+02
   0.995198E+02   0.997129E+02   0.166741E+01   0.481850E+00  -0.594083E+02
   0.100112E+03   0.997129E+02   0.665789E+00   0.112862E+00  -0.586126E+02
   0.100173E+03   0.998536E+02   0.326840E+01   0.466363E-01  -0.584728E+02
   0.999239E+02   0.996310E+02   0.331300E+01   0.637229E+00  -0.592418E+02
   0.991202E+02   0.997927E+02   0.299980E+00   0.285961E+00  -0.584136E+02
   0.100253E+03   0.999992E+02   0.427457E+01   0.816703E+00  -0.613293E+02
   0.998278E+02   0.995643E+02   0.475460E+01   0.230160E+00  -0.584093E+02
   0.100205E+03   0.997978E+02   0.115826E+01   0.626819E+00  -0.598715E+02
   0.999783E+02   0.996879E+02   0.327436E+01   0.421459E+00  -0.584365E+02
   0.100173E+03   0.996879E+02   0.162093E+01   0.436615E+00  -0.593455E+02
   0.100155E+03   0.994646E+02   0.363683E+01   0.528485E-01  -0.582575E+02
   0.100155E+03   0.997927E+02   0.279148E+01   0.815093E-02  -0.582686E+02
   0.999739E+02   0.998275E+02   0.235075E+01   0.436527E+00  -0.586620E+02
   0.100189E+03   0.997803E+02   0.131629E+01   0.200199E+00  -0.585902E+02
   0.998946E+02   0.997803E+02   0.396067E+01   0.214905E+00  -0.581437E+02
   0.997379E+02   0.993182E+02   0.376728E+01   0.367929E+00  -0.589321E+02
   0.998960E+02   0.989940E+02   0.570309E+01   0.198414E+00  -0.606528E+02
   0.997617E+02   0.993360E+02   0.408389E+01   0.583751E+00  -0.591939E+02
   0.100120E+03   0.995707E+02   0.510672E+00   0.438680E+00  -0.595492E+02
   0.998307E+02   0.994762E+02   0.289432E+01   0.501422E-01  -0.581032E+02
   0.997832E+02   0.100233E+03   0.381378E+01   0.335825E+00  -0.605629E+02
   0.989849E+02   0.994334E+02   0.314452E+01   0.625564E+00  -0.642941E+02
   0.100508E+03   0.993796E+02   0.322573E+01   0.743162E+00  -0.611323E+02
   0.997622E+02   0.992858E+02   0.178524E+01   0.368758E+00  -0.603891E+02
   0.999700E+02   0.999724E+02   0.475516E+00   0.443685E+00  -0.591583E+02
   0.100304E+03   0.998807E+02   0.113904E+01   0.640598E+00  -0.602040E+02
   0.995838E+02   0.100719E+03   0.563553E+01   0.829444E+00  -0.597561E+02
   0.997458E+02   0.102195E+03   0.574427E+01   0.509272E+00  -0.579741E+02
   0.999187E+02   0.100497E+03   0.574427E+01   0.540556E+00  -0.586479E+02
   0.996590E+02   0.102712E+03   0.574191E+01   0.561338E+00  -0.587366E+02
