               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.906853E+02   0.913645E+02   0.305599E+01   0.135578E-01
Maximum           0.138844E+03   0.138193E+03   0.404887E+01   0.253971E+02
Range             0.481587E+02   0.468285E+02   0.992880E+00   0.253835E+02
Mean              0.113530E+03   0.113457E+03   0.353564E+01   0.244288E+01
Median            0.113338E+03   0.113314E+03   0.349941E+01   0.123671E+01
Q10%              0.110971E+03   0.110925E+03   0.315516E+01   0.275846E+00
Q25%              0.112331E+03   0.112267E+03   0.328728E+01   0.587933E+00
Q75%              0.114326E+03   0.114304E+03   0.379076E+01   0.260647E+01
Q90%              0.115829E+03   0.115763E+03   0.396523E+01   0.590306E+01
St.Dev.           0.341358E+01   0.361067E+01   0.293845E+00   0.341200E+01
Variance          0.116525E+02   0.130369E+02   0.863447E-01   0.116418E+02
CV                0.300677E-01   0.318240E-01   0.831093E-01   0.139671E+01
Skewness          0.171387E+01   0.141263E+01   0.174366E+00   0.312220E+01
Kurtosis          0.175945E+02   0.186843E+02  -0.123647E+01   0.116697E+02
MaxPost           0.113347E+03   0.113087E+03   0.400970E+01   0.616305E-01
