"res1"	"Y1_gamma1"	"LogPost"
99.9647	0.549959	-45.7423
100.045	0.295959	-44.932
99.8512	0.287041	-44.8933
99.8032	0.195531	-44.8569
100.186	0.0929126	-45.299
100.186	0.116982	-45.3127
100.165	0.178736	-45.2312
99.8583	0.0504686	-44.5302
99.8121	0.211368	-44.8506
99.7933	0.192977	-44.8925
100.031	0.125554	-44.5943
99.7099	0.438458	-45.8826
99.7811	0.509177	-45.8343
100.087	0.29616	-45.0589
99.8368	0.362482	-45.1376
100.303	0.125189	-46.3258
100.343	0.249993	-46.7829
99.9754	0.183374	-44.5792
100.123	0.434979	-45.5998
100.043	0.165967	-44.6755
99.9685	0.306161	-44.8377
100.022	0.204246	-44.684
100.095	0.152106	-44.8397
100.301	0.403005	-46.59
100.089	0.158961	-44.8226
99.6129	0.547206	-46.834
99.9193	0.310822	-44.8518
99.9193	0.122545	-44.4907
99.9014	0.526233	-45.6486
100.035	0.37245	-45.1222
100.226	0.447697	-46.1648
100.213	0.000831702	-45.4819
99.8046	0.0247968	-44.696
99.9269	0.378148	-45.0507
100.13	0.50007	-45.8702
100.063	0.196955	-44.783
99.9072	0.0461149	-44.4432
99.5398	0.00159324	-46.7834
99.8138	0.0303025	-44.6614
99.8907	0.23077	-44.691
100.106	0.0700366	-44.8229
100.013	0.0700366	-44.509
100.013	0.058732	-44.5028
99.9447	0.115348	-44.475
100.385	0.00720726	-47.272
100.213	0.211082	-45.5941
100.078	0.219289	-44.87
100.425	0.89162	-49.4172
100.004	0.0946343	-44.5082
100.098	0.120699	-44.8192
100.669	0.110571	-51.9988
99.762	0.182058	-45.0192
99.762	0.671799	-46.6682
100.05	0.190593	-44.7303
100.185	0.176604	-45.362
99.7636	0.385259	-45.4595
99.4863	0.285929	-47.4719
99.6115	0.277251	-46.1899
100.158	0.0503588	-45.098
100.187	0.0396917	-45.2896
100.015	0.243651	-44.7458
100.003	0.11235	-44.523
99.9469	0.396687	-45.1094
99.9582	0.383082	-45.0649
