               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.775447E+02   0.290540E+01
Maximum           0.830434E+02   0.630005E+01
Range             0.549870E+01   0.339465E+01
Mean              0.801574E+02   0.416666E+01
Median            0.801724E+02   0.411726E+01
Q10%              0.791460E+02   0.348676E+01
Q25%              0.797110E+02   0.376450E+01
Q75%              0.806754E+02   0.454609E+01
Q90%              0.810310E+02   0.491903E+01
St.Dev.           0.755279E+00   0.568761E+00
Variance          0.570446E+00   0.323489E+00
CV                0.942244E-02   0.136503E+00
Skewness         -0.229854E+00   0.488276E+00
Kurtosis          0.555230E+00   0.376108E+00
MaxPost           0.800925E+02   0.394058E+01
