res1           res2           tau1           Y1_gamma1      LogPost        
   0.906616E+02   0.935916E+02   0.449026E+01   0.378378E+01  -0.145063E+02
   0.970390E+02   0.858581E+02   0.429587E+01   0.500763E+01  -0.186740E+02
   0.943126E+02   0.884477E+02   0.448710E+01   0.443802E+01  -0.159100E+02
   0.936868E+02   0.907671E+02   0.404957E+01   0.289850E+01  -0.135280E+02
   0.935692E+02   0.902509E+02   0.409928E+01   0.573673E+01  -0.165841E+02
   0.892549E+02   0.910993E+02   0.405919E+01   0.803744E+00  -0.125866E+02
   0.923398E+02   0.919650E+02   0.427876E+01   0.123277E+01  -0.102202E+02
   0.949777E+02   0.926186E+02   0.451589E+01   0.369911E+01  -0.150266E+02
   0.907738E+02   0.921957E+02   0.435726E+01   0.893848E+00  -0.109558E+02
   0.922231E+02   0.931529E+02   0.406465E+01   0.149824E+01  -0.109885E+02
   0.936035E+02   0.927246E+02   0.420869E+01   0.580509E+00  -0.106475E+02
   0.914964E+02   0.935179E+02   0.414385E+01   0.755902E+00  -0.106378E+02
   0.931166E+02   0.918900E+02   0.413701E+01   0.200877E+00  -0.993053E+01
   0.931166E+02   0.926221E+02   0.446142E+01   0.708686E+00  -0.103329E+02
   0.918060E+02   0.925825E+02   0.441492E+01   0.106132E+01  -0.992532E+01
   0.924705E+02   0.908036E+02   0.444390E+01   0.546528E+00  -0.100328E+02
   0.942884E+02   0.940458E+02   0.442182E+01   0.450146E+01  -0.155552E+02
   0.942650E+02   0.935735E+02   0.400430E+01   0.214271E+01  -0.128363E+02
   0.939871E+02   0.928648E+02   0.411701E+01   0.237693E+01  -0.125232E+02
   0.901090E+02   0.925981E+02   0.449083E+01   0.118979E+01  -0.125790E+02
   0.919764E+02   0.915281E+02   0.422880E+01   0.340484E+00  -0.948244E+01
   0.924987E+02   0.928097E+02   0.413228E+01   0.202730E+01  -0.116163E+02
   0.919973E+02   0.918802E+02   0.404715E+01   0.170643E+01  -0.109552E+02
   0.921443E+02   0.916037E+02   0.442711E+01   0.239518E+00  -0.908530E+01
   0.921443E+02   0.916029E+02   0.429701E+01   0.635907E+00  -0.939275E+01
   0.911794E+02   0.923740E+02   0.447154E+01   0.357631E+00  -0.984057E+01
   0.910903E+02   0.932963E+02   0.437438E+01   0.773375E-01  -0.103128E+02
   0.911423E+02   0.921078E+02   0.419623E+01   0.137016E+01  -0.103893E+02
   0.919980E+02   0.914472E+02   0.415934E+01   0.107055E+01  -0.102908E+02
   0.902289E+02   0.906041E+02   0.418299E+01   0.175391E+01  -0.124841E+02
   0.920449E+02   0.917156E+02   0.396492E+01   0.247839E+01  -0.122698E+02
   0.933376E+02   0.927214E+02   0.406845E+01   0.984559E+00  -0.104757E+02
