               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.821218E+02   0.858581E+02   0.394855E+01   0.880726E-03
Maximum           0.101159E+03   0.970660E+02   0.454105E+01   0.702598E+01
Range             0.190372E+02   0.112079E+02   0.592500E+00   0.702510E+01
Mean              0.918555E+02   0.923103E+02   0.424070E+01   0.121796E+01
Median            0.919121E+02   0.923040E+02   0.424496E+01   0.898451E+00
Q10%              0.901560E+02   0.906767E+02   0.400302E+01   0.136895E+00
Q25%              0.910541E+02   0.916232E+02   0.407495E+01   0.372848E+00
Q75%              0.926436E+02   0.930477E+02   0.439384E+01   0.165303E+01
Q90%              0.935170E+02   0.938105E+02   0.449023E+01   0.282275E+01
St.Dev.           0.156621E+01   0.134807E+01   0.176548E+00   0.114469E+01
Variance          0.245301E+01   0.181728E+01   0.311690E-01   0.131031E+01
CV                0.170508E-01   0.146037E-01   0.416317E-01   0.939837E+00
Skewness         -0.325343E+00  -0.283944E+00   0.367867E-01   0.164365E+01
Kurtosis          0.734071E+01   0.188468E+01  -0.124803E+01   0.316040E+01
MaxPost           0.919855E+02   0.931393E+02   0.428200E+01   0.497100E-01
