               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.663989E+02   0.591725E+02   0.826107E+01   0.651881E-02
Maximum           0.998904E+02   0.921462E+02   0.990423E+01   0.265987E+02
Range             0.334915E+02   0.329737E+02   0.164316E+01   0.265922E+02
Mean              0.869293E+02   0.700041E+02   0.973613E+01   0.261842E+01
Median            0.870007E+02   0.696437E+02   0.977342E+01   0.153496E+01
Q10%              0.849907E+02   0.659711E+02   0.964973E+01   0.264729E+00
Q25%              0.861778E+02   0.678333E+02   0.970219E+01   0.720702E+00
Q75%              0.878670E+02   0.714197E+02   0.983944E+01   0.297741E+01
Q90%              0.890515E+02   0.739863E+02   0.987962E+01   0.602515E+01
St.Dev.           0.245012E+01   0.402158E+01   0.213316E+00   0.342077E+01
Variance          0.600308E+01   0.161731E+02   0.455038E-01   0.117017E+02
CV                0.281852E-01   0.574478E-01   0.219097E-01   0.130642E+01
Skewness         -0.126741E+01   0.146894E+01  -0.441793E+01   0.340745E+01
Kurtosis          0.156932E+02   0.554213E+01   0.226138E+02   0.155367E+02
MaxPost           0.867103E+02   0.693250E+02   0.971787E+01   0.105712E+00
