               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.107809E+03   0.119484E+03   0.229800E+01   0.281283E+01
Maximum           0.114406E+03   0.127037E+03   0.286428E+01   0.677012E+01
Range             0.659700E+01   0.755300E+01   0.566280E+00   0.395729E+01
Mean              0.111376E+03   0.123051E+03   0.267384E+01   0.410125E+01
Median            0.111351E+03   0.122979E+03   0.266851E+01   0.404217E+01
Q10%              0.110088E+03   0.121567E+03   0.255102E+01   0.328931E+01
Q25%              0.110716E+03   0.122261E+03   0.257530E+01   0.365149E+01
Q75%              0.112106E+03   0.123906E+03   0.276734E+01   0.444979E+01
Q90%              0.112679E+03   0.124519E+03   0.282711E+01   0.499076E+01
St.Dev.           0.104689E+01   0.118013E+01   0.105546E+00   0.655420E+00
Variance          0.109598E+01   0.139270E+01   0.111400E-01   0.429575E+00
CV                0.939963E-02   0.959057E-02   0.394737E-01   0.159810E+00
Skewness         -0.768037E-01   0.390895E-01   0.625749E-01   0.741672E+00
Kurtosis          0.421221E-01   0.985523E-01  -0.768929E+00   0.812372E+00
MaxPost           0.111278E+03   0.122877E+03   0.254380E+01   0.368869E+01
