               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.987185E+02   0.917810E+02   0.143534E+00   0.130539E-02
Maximum           0.103135E+03   0.103636E+03   0.985284E+01   0.123620E+01
Range             0.441650E+01   0.118550E+02   0.970931E+01   0.123489E+01
Mean              0.998088E+02   0.993423E+02   0.509173E+01   0.404301E+00
Median            0.997557E+02   0.998083E+02   0.379716E+01   0.420173E+00
Q10%              0.992627E+02   0.975554E+02   0.533427E+00   0.917879E-01
Q25%              0.995074E+02   0.993556E+02   0.209145E+01   0.234102E+00
Q75%              0.998881E+02   0.999744E+02   0.909596E+01   0.556278E+00
Q90%              0.100300E+03   0.100148E+03   0.964973E+01   0.680878E+00
St.Dev.           0.602184E+00   0.138670E+01   0.345144E+01   0.220645E+00
Variance          0.362626E+00   0.192293E+01   0.119124E+02   0.486842E-01
CV                0.603338E-02   0.139588E-01   0.677852E+00   0.545744E+00
Skewness          0.252239E+01  -0.224519E+01   0.149900E+00   0.163815E+00
Kurtosis          0.886927E+01   0.661569E+01  -0.157434E+01  -0.247403E+00
MaxPost           0.992410E+02   0.999340E+02   0.211774E+01   0.391182E+00
