               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.773347E+02   0.771733E+02   0.708268E+01   0.207227E-02
Maximum           0.848098E+02   0.845847E+02   0.775630E+01   0.154721E+01
Range             0.747510E+01   0.741140E+01   0.673620E+00   0.154514E+01
Mean              0.806495E+02   0.809016E+02   0.744755E+01   0.351000E+00
Median            0.806963E+02   0.808097E+02   0.746558E+01   0.293094E+00
Q10%              0.798682E+02   0.801864E+02   0.714364E+01   0.551223E-01
Q25%              0.803500E+02   0.804767E+02   0.723443E+01   0.134057E+00
Q75%              0.809947E+02   0.812202E+02   0.765727E+01   0.502317E+00
Q90%              0.814035E+02   0.819709E+02   0.772072E+01   0.743215E+00
St.Dev.           0.760240E+00   0.894205E+00   0.221333E+00   0.282379E+00
Variance          0.577965E+00   0.799602E+00   0.489885E-01   0.797380E-01
CV                0.942647E-02   0.110530E-01   0.297189E-01   0.804500E+00
Skewness         -0.273708E+00   0.304272E+00  -0.132788E+00   0.118903E+01
Kurtosis          0.402317E+01   0.402845E+01  -0.150046E+01   0.140522E+01
MaxPost           0.806562E+02   0.824151E+02   0.770100E+01   0.105807E-01
