               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.972247E+02   0.965184E+02   0.136496E+00   0.154728E+01
Maximum           0.105157E+03   0.102297E+03   0.549592E+01   0.359944E+01
Range             0.793230E+01   0.577860E+01   0.535942E+01   0.205216E+01
Mean              0.993395E+02   0.990376E+02   0.332654E+01   0.242064E+01
Median            0.994449E+02   0.984531E+02   0.288122E+01   0.238247E+01
Q10%              0.979129E+02   0.976254E+02   0.179785E+01   0.204650E+01
Q25%              0.983265E+02   0.979520E+02   0.223266E+01   0.219756E+01
Q75%              0.100181E+03   0.100267E+03   0.480013E+01   0.261463E+01
Q90%              0.100636E+03   0.100930E+03   0.510061E+01   0.284533E+01
St.Dev.           0.113808E+01   0.132932E+01   0.138827E+01   0.313260E+00
Variance          0.129523E+01   0.176709E+01   0.192731E+01   0.981321E-01
CV                0.114565E-01   0.134224E-01   0.417332E+00   0.129412E+00
Skewness          0.500308E+00   0.495005E+00  -0.144479E-02   0.503448E+00
Kurtosis          0.751909E+00  -0.109953E+01  -0.127948E+01   0.504559E+00
MaxPost           0.100086E+03   0.981041E+02   0.250753E+01   0.215584E+01
