               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.977246E+02   0.168480E+01
Maximum           0.998861E+02   0.383723E+01
Range             0.216150E+01   0.215243E+01
Mean              0.987934E+02   0.256852E+01
Median            0.987867E+02   0.254638E+01
Q10%              0.983384E+02   0.219911E+01
Q25%              0.985613E+02   0.236105E+01
Q75%              0.990276E+02   0.274072E+01
Q90%              0.992490E+02   0.296349E+01
St.Dev.           0.365900E+00   0.314047E+00
Variance          0.133883E+00   0.986255E-01
CV                0.370369E-02   0.122268E+00
Skewness         -0.393794E-02   0.580405E+00
Kurtosis          0.242247E+00   0.114211E+01
MaxPost           0.988014E+02   0.249784E+01
