               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.110736E+03   0.345664E-03
Maximum           0.112866E+03   0.140663E+01
Range             0.213000E+01   0.140628E+01
Mean              0.111565E+03   0.350104E+00
Median            0.111572E+03   0.289771E+00
Q10%              0.111227E+03   0.566242E-01
Q25%              0.111424E+03   0.138324E+00
Q75%              0.111726E+03   0.494724E+00
Q90%              0.111849E+03   0.718202E+00
St.Dev.           0.251362E+00   0.270044E+00
Variance          0.631827E-01   0.729239E-01
CV                0.225304E-02   0.771327E+00
Skewness         -0.335487E-03   0.107268E+01
Kurtosis          0.132486E+01   0.100046E+01
MaxPost           0.111589E+03   0.927986E-02
