               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.987426E+02   0.226366E+01
Maximum           0.101287E+03   0.441063E+01
Range             0.254440E+01   0.214697E+01
Mean              0.100116E+03   0.314623E+01
Median            0.100125E+03   0.312122E+01
Q10%              0.995437E+02   0.268429E+01
Q25%              0.998059E+02   0.291397E+01
Q75%              0.100413E+03   0.337533E+01
Q90%              0.100683E+03   0.359112E+01
St.Dev.           0.441184E+00   0.352303E+00
Variance          0.194643E+00   0.124118E+00
CV                0.440672E-02   0.111976E+00
Skewness         -0.146413E+00   0.378367E+00
Kurtosis          0.775119E-02   0.266062E+00
MaxPost           0.100095E+03   0.308508E+01
