               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.100932E+03   0.554428E+01
Maximum           0.105172E+03   0.854224E+01
Range             0.424000E+01   0.299796E+01
Mean              0.103076E+03   0.681103E+01
Median            0.103060E+03   0.676858E+01
Q10%              0.102189E+03   0.618650E+01
Q25%              0.102584E+03   0.645235E+01
Q75%              0.103575E+03   0.713001E+01
Q90%              0.103995E+03   0.747084E+01
St.Dev.           0.697676E+00   0.499318E+00
Variance          0.486752E+00   0.249318E+00
CV                0.676858E-02   0.733101E-01
Skewness         -0.744690E-01   0.427289E+00
Kurtosis         -0.916918E-01   0.159928E+00
MaxPost           0.103047E+03   0.667073E+01
