res1           Y1_gamma1      LogPost        
   0.124839E+03   0.528654E+00  -0.134984E+02
   0.124744E+03   0.106553E+01  -0.141533E+02
   0.124591E+03   0.504197E+00  -0.137039E+02
   0.125592E+03   0.107078E+01  -0.153493E+02
   0.125298E+03   0.870723E+00  -0.143397E+02
   0.124163E+03   0.746213E+00  -0.148719E+02
   0.124250E+03   0.944983E+00  -0.146679E+02
   0.123661E+03   0.295377E+01  -0.196431E+02
   0.124202E+03   0.455154E+00  -0.149466E+02
   0.124349E+03   0.826927E+00  -0.143212E+02
   0.124845E+03   0.809990E+00  -0.137113E+02
   0.124325E+03   0.669195E+00  -0.143361E+02
   0.124751E+03   0.512592E+00  -0.135210E+02
   0.124751E+03   0.140332E+01  -0.149428E+02
   0.124426E+03   0.207238E+01  -0.168863E+02
   0.123562E+03   0.157441E+01  -0.173540E+02
   0.125075E+03   0.760494E+00  -0.138164E+02
   0.124875E+03   0.846376E+00  -0.137651E+02
   0.124339E+03   0.243684E+01  -0.178855E+02
   0.125237E+03   0.186434E+01  -0.163712E+02
   0.124639E+03   0.110425E+01  -0.142861E+02
   0.124481E+03   0.107705E+01  -0.143973E+02
   0.125298E+03   0.139811E+01  -0.152679E+02
   0.125609E+03   0.115849E+01  -0.154946E+02
   0.124933E+03   0.768542E+00  -0.136896E+02
   0.124861E+03   0.111438E+00  -0.135749E+02
   0.125163E+03   0.269611E+00  -0.139385E+02
   0.125243E+03   0.355725E+00  -0.141197E+02
   0.124633E+03   0.161617E+01  -0.155438E+02
   0.124868E+03   0.158294E+00  -0.135641E+02
   0.124732E+03   0.873699E+00  -0.138212E+02
   0.124778E+03   0.124377E+01  -0.145408E+02
   0.124947E+03   0.279722E+00  -0.135663E+02
   0.124954E+03   0.677625E+00  -0.136170E+02
   0.125192E+03   0.111764E+01  -0.145167E+02
   0.125252E+03   0.638438E+00  -0.140814E+02
   0.124876E+03   0.267300E+00  -0.135315E+02
   0.125552E+03   0.987469E+00  -0.151521E+02
   0.124729E+03   0.104938E+01  -0.141263E+02
   0.124184E+03   0.148494E+01  -0.156891E+02
   0.124570E+03   0.243910E+01  -0.177891E+02
   0.125330E+03   0.622512E+00  -0.143020E+02
   0.124725E+03   0.285024E+00  -0.135781E+02
   0.124602E+03   0.794197E+00  -0.138279E+02
   0.124958E+03   0.660433E+00  -0.136078E+02
   0.124963E+03   0.383504E+00  -0.135525E+02
   0.124108E+03   0.997157E+00  -0.151182E+02
   0.125006E+03   0.464343E+00  -0.135893E+02
   0.124582E+03   0.933731E+00  -0.140310E+02
   0.125103E+03   0.883360E+00  -0.139996E+02
   0.125103E+03   0.668773E+00  -0.137852E+02
   0.125103E+03   0.508725E+00  -0.137368E+02
   0.123742E+03   0.394463E+00  -0.180215E+02
   0.124520E+03   0.937679E+00  -0.141150E+02
   0.124683E+03   0.156903E+01  -0.153983E+02
   0.125186E+03   0.239110E+00  -0.140148E+02
   0.123410E+03   0.228210E+01  -0.187179E+02
   0.124444E+03   0.573973E+00  -0.140106E+02
   0.124360E+03   0.466124E+00  -0.143056E+02
   0.125056E+03   0.574082E+00  -0.136698E+02
   0.126488E+03   0.142501E+01  -0.190211E+02
   0.124764E+03   0.842159E+00  -0.137639E+02
   0.124357E+03   0.262910E-01  -0.146322E+02
   0.123878E+03   0.701427E+00  -0.162260E+02
   0.124897E+03   0.539959E+00  -0.135135E+02
   0.124577E+03   0.629783E+00  -0.137444E+02
   0.125245E+03   0.544214E+00  -0.140585E+02
   0.125299E+03   0.600381E+00  -0.142081E+02
   0.125265E+03   0.404492E+00  -0.141622E+02
   0.124811E+03   0.115816E+01  -0.143397E+02
   0.124999E+03   0.544851E+00  -0.135906E+02
   0.124999E+03   0.133269E+00  -0.136687E+02
   0.124987E+03   0.595717E+00  -0.135959E+02
   0.124700E+03   0.737540E+00  -0.136754E+02
   0.124417E+03   0.102904E+01  -0.144140E+02
   0.124574E+03   0.505657E+00  -0.137331E+02
   0.124840E+03   0.505657E+00  -0.134939E+02
   0.124681E+03   0.221710E+00  -0.136538E+02
   0.125135E+03   0.753945E+00  -0.139000E+02
   0.125043E+03   0.704243E+00  -0.137243E+02
   0.124902E+03   0.222832E-01  -0.135995E+02
   0.124664E+03   0.403710E+00  -0.136096E+02
   0.124664E+03   0.817492E+00  -0.137902E+02
