               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.123312E+03   0.576645E-02
Maximum           0.126739E+03   0.431657E+01
Range             0.342700E+01   0.431080E+01
Mean              0.124823E+03   0.786871E+00
Median            0.124844E+03   0.676562E+00
Q10%              0.124234E+03   0.196629E+00
Q25%              0.124549E+03   0.389746E+00
Q75%              0.125108E+03   0.105083E+01
Q90%              0.125351E+03   0.143876E+01
St.Dev.           0.454711E+00   0.555973E+00
Variance          0.206762E+00   0.309106E+00
CV                0.364286E-02   0.706561E+00
Skewness         -0.112840E+00   0.161279E+01
Kurtosis          0.961192E+00   0.481963E+01
MaxPost           0.124837E+03   0.448882E+00
