               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.764405E+02   0.764240E+02   0.913900E+01   0.183378E-04
Maximum           0.902522E+02   0.887939E+02   0.929495E+01   0.483258E+01
Range             0.138117E+02   0.123699E+02   0.155950E+00   0.483256E+01
Mean              0.835767E+02   0.833162E+02   0.920823E+01   0.818394E+00
Median            0.836013E+02   0.832687E+02   0.919862E+01   0.653388E+00
Q10%              0.816693E+02   0.821925E+02   0.915148E+01   0.110679E+00
Q25%              0.828585E+02   0.828229E+02   0.916681E+01   0.316250E+00
Q75%              0.844861E+02   0.838387E+02   0.925171E+01   0.112611E+01
Q90%              0.854120E+02   0.843972E+02   0.927859E+01   0.173788E+01
St.Dev.           0.167847E+01   0.112222E+01   0.469674E-01   0.722293E+00
Variance          0.281727E+01   0.125938E+01   0.220594E-02   0.521707E+00
CV                0.200830E-01   0.134694E-01   0.510059E-02   0.882573E+00
Skewness         -0.477612E+00   0.311908E-02   0.327483E+00   0.194616E+01
Kurtosis          0.244133E+01   0.643332E+01  -0.123696E+01   0.591355E+01
MaxPost           0.842499E+02   0.830687E+02   0.920253E+01   0.230212E-01
