               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.888307E+00   0.310988E+01   0.880619E+01   0.748515E-01
Maximum           0.798446E+03   0.858235E+03   0.971962E+01   0.887058E+03
Range             0.797558E+03   0.855125E+03   0.913430E+00   0.886983E+03
Mean              0.151783E+03   0.160455E+03   0.925351E+01   0.960165E+02
Median            0.104961E+03   0.106049E+03   0.925346E+01   0.281181E+02
Q10%              0.746010E+02   0.764933E+02   0.889782E+01   0.216760E+01
Q25%              0.990463E+02   0.985318E+02   0.902159E+01   0.521418E+01
Q75%              0.139649E+03   0.148447E+03   0.948084E+01   0.114662E+03
Q90%              0.312518E+03   0.382121E+03   0.964325E+01   0.289010E+03
St.Dev.           0.123150E+03   0.133471E+03   0.270404E+00   0.148137E+03
Variance          0.151659E+05   0.178145E+05   0.731182E-01   0.219444E+05
CV                0.811356E+00   0.831826E+00   0.292217E-01   0.154282E+01
Skewness          0.245747E+01   0.217046E+01   0.741160E-01   0.234164E+01
Kurtosis          0.686143E+01   0.456655E+01  -0.120746E+01   0.607359E+01
MaxPost           0.102217E+03   0.104012E+03   0.902531E+01   0.909869E+00
