               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.947478E+02   0.903723E+02   0.333029E+01   0.291567E-02
Maximum           0.979955E+02   0.942954E+02   0.423501E+01   0.249235E+01
Range             0.324770E+01   0.392310E+01   0.904720E+00   0.248943E+01
Mean              0.962199E+02   0.921675E+02   0.391617E+01   0.468716E+00
Median            0.962154E+02   0.921494E+02   0.391873E+01   0.376458E+00
Q10%              0.956136E+02   0.912722E+02   0.389590E+01   0.828100E-01
Q25%              0.958737E+02   0.917116E+02   0.390444E+01   0.181401E+00
Q75%              0.965216E+02   0.925947E+02   0.393341E+01   0.672149E+00
Q90%              0.968318E+02   0.930909E+02   0.394276E+01   0.981923E+00
St.Dev.           0.486211E+00   0.691764E+00   0.582472E-01   0.377944E+00
Variance          0.236401E+00   0.478538E+00   0.339273E-02   0.142842E+00
CV                0.505313E-02   0.750551E-02   0.148735E-01   0.806340E+00
Skewness          0.115624E+00   0.274187E+00  -0.474625E+01   0.143300E+01
Kurtosis          0.258909E+00   0.182996E+00   0.559768E+02   0.310540E+01
MaxPost           0.961773E+02   0.921998E+02   0.392501E+01   0.442484E-01
