               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.100974E+03   0.249707E+01
Maximum           0.107059E+03   0.896919E+01
Range             0.608500E+01   0.647212E+01
Mean              0.104196E+03   0.456881E+01
Median            0.104150E+03   0.444838E+01
Q10%              0.102999E+03   0.361322E+01
Q25%              0.103558E+03   0.401541E+01
Q75%              0.104826E+03   0.506157E+01
Q90%              0.105458E+03   0.568119E+01
St.Dev.           0.953733E+00   0.837528E+00
Variance          0.909607E+00   0.701453E+00
CV                0.915330E-02   0.183314E+00
Skewness          0.467560E-01   0.978850E+00
Kurtosis          0.615415E-01   0.248772E+01
MaxPost           0.104236E+03   0.422270E+01
