               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.950824E+02   0.934399E+02   0.387159E+00   0.241099E-02
Maximum           0.106713E+03   0.112922E+03   0.142220E+01   0.125544E+02
Range             0.116306E+02   0.194821E+02   0.103504E+01   0.125520E+02
Mean              0.100129E+03   0.100237E+03   0.928777E+00   0.111391E+01
Median            0.100115E+03   0.100159E+03   0.946222E+00   0.801028E+00
Q10%              0.988558E+02   0.986288E+02   0.470964E+00   0.163657E+00
Q25%              0.995696E+02   0.994287E+02   0.650567E+00   0.383295E+00
Q75%              0.100796E+03   0.100974E+03   0.122994E+01   0.144613E+01
Q90%              0.101392E+03   0.102014E+03   0.134756E+01   0.227527E+01
St.Dev.           0.120320E+01   0.156346E+01   0.319557E+00   0.125454E+01
Variance          0.144769E+01   0.244440E+01   0.102117E+00   0.157387E+01
CV                0.120165E-01   0.155976E-01   0.344062E+00   0.112625E+01
Skewness         -0.232156E-01   0.156923E+01  -0.109670E+00   0.428999E+01
Kurtosis          0.394243E+01   0.128524E+02  -0.133213E+01   0.292166E+02
MaxPost           0.997626E+02   0.100277E+03   0.452959E+00   0.157319E+00
